question,Very not useful,Not useful,Neutral,Useful,Very useful
 [G17 - Use decentralized authentication methods backed by secure hardware to verify edge device identities without relying on centralized authorities.],0,0,2,6,2
 [G18 - Implement nonce-based tokens with timestamp verification to ensure message freshness and reduce replay or flooding attack surfaces.],1,0,4,4,1
 [G19 - Isolate edge workloads in secure execution environments governed by strict access policies and limited execution rights.],0,1,3,3,3
 [G20 - Establish encrypted point-to-point tunnels and implement active failure detection to ensure secure and resilient communication.],1,0,1,5,3
" [G21 - Ensure secure and trusted communication between nodes through mutual authentication, encrypted channels, and dynamic trust revocation triggered by attestation or policy violations.]",1,0,2,4,3
 [G22 - Establish data usage policies and adopt secure middleware that enforces contextual access control and provides end-to-end protection for streaming data.],1,0,4,4,1
 [G23 - Implement automatic device registration and discovery mechanisms integrated with centralized management platforms.],0,0,2,3,5
 [G24 - Implement centralized solutions to automate the orchestration and configuration of numerous edge devices across distributed environments.],0,0,4,3,3
 [G25 - Implement connection lifecycle tracking through standardized birth/death messages to monitor Edge device availability.],1,0,2,4,3
" [G26 - Adopt digital twin architectures to model and manage the identity, status, and behavior of Edge devices in real time, enabling intelligent capabilities and seamless cloud integration.]",1,0,4,3,2
" [G27 - Use declarative configurations (e.g., ConfigMaps) and edge-side agents to orchestrate network plugins, load balancing rules, and secure tunnels.]",1,0,1,7,1
 [G28 - Implement real-time observability mechanisms with model-driven automatic reconfiguration of system architectures.],1,1,1,3,4
 [G29 - Use well-defined environment variables in containers to ensure compatibility with Edge orchestration systems.],1,1,1,5,2
" [G30 - Use dedicated container registries to store and distribute tool images, ensuring consistency and reproducibility across development environments.]",1,0,2,3,4
" [G32 - Use open-standard observability tools to collect, structure, and expose system metrics and logs for monitoring and automation.]",1,0,0,3,6
" [G33 - Implement observability strategies that encompass tracing, logging, and recording of lifecycle events across architecture components and Edge devices.]",1,0,1,3,5
" [G34 - Implement fault-tolerant persistence strategies for critical data, including support for automated recovery and state restoration.]",1,1,0,4,4
" [G35 - Adopt storage solutions that align with architectural constraints: use SQLite for minimal footprint, PostgreSQL for advanced query support, and MinIO/S3 for distributed object storage.]",1,1,2,3,3
 [G36 - Adopt regular serialization of component runtime state to enable recovery in the event of crashes or unsuccessful deployments.],2,1,3,3,1
" [G37 - Implement data access control policies that ensure application-specific isolation and user authentication, using database features like role-based access in PostgreSQL.]",0,1,3,3,3
 [G38 - Use hardware-agnostic specifications and flexible connectivity to design lightweight components that manage device interfaces and execute sensor operations in embedded systems.],0,1,3,3,3
" [G39 - Adopt distributed execution architectures that operate across the cloud–edge continuum, dynamically adapting task placement based on proximity and resource availability.]",1,1,3,1,4
 [G40 - Consider the heterogeneity of physical hardware during architectural design to ensure compatibility with diverse deployment environments.],1,0,3,3,3
" [G42 - Employ distributed and federated execution architectures with state management and decentralized training, using intermediate components such as combiners or aggregators.]",0,0,3,2,5
 [G44 - Use lightweight and modular runtimes in EdgeAI to isolate AI components and optimize both performance and resource consumption.],0,0,2,2,6
 [G45 - Implement real-time monitoring and adaptive workload distribution to optimize resource use and avoid system bottlenecks.],1,0,1,4,4
 [G46 - Adopt frameworks optimized for high-performance workloads and support task-specific model fine-tuning in resource-constrained environments.],1,0,1,7,1
 [G47 - Implement task offloading and distributed scaling mechanisms to maintain performance when local resource thresholds are exceeded.],1,0,1,4,4
" [G49 - Enable the use of DSLs and the integration of custom tasks (e.g., HKTask, MontiThings) to support specialized development needs.]",2,0,4,3,1
 [G50 - Adopt modular and extensible software platforms that support functional reuse and extension without requiring full system recompilation.],0,1,1,2,6
 [G51 - Integrate a local rules engine to allow administrators to define and enforce custom execution policies at the Edge.],0,0,3,4,3
" [G52 - Apply DevOps practices to lightweight Edge clusters using ML lifecycle extensions to automate model training, deployment, and monitoring.]",0,1,1,3,5
