Code;;Magnitude Degree;Density;Groups;Number of Groups;Comment;Creation Date;Date Modified
;● Provisioning;2;0;ATLAS;1;;4/3/25;5/12/25
;● Replica Management;1;0;ATLAS;1;;4/3/25;5/12/25
;● Resource Management;23;0;ATLAS;1;;4/2/25;5/12/25
;● Service Continuity;6;0;ATLAS;1;;4/2/25;5/12/25
;● Service Discovery;2;0;ATLAS;1;;4/5/25;5/12/25
;● Service Management;20;0;ATLAS;1;;4/1/25;5/12/25
;● System Deployment Options;2;0;ATLAS;1;;4/2/25;5/12/25
;● Unified APIs;5;0;ATLAS;1;;4/1/25;5/12/25
;● Unified Deployment;2;0;ATLAS;1;;4/2/25;5/12/25
;● Unified Interface;1;0;ATLAS;1;;4/3/25;5/12/25
● T4. Modular Edge Architecture & Service Orchestration;;97;0;Themes;1;;4/9/25;5/12/25
;● Abstraction Layer;1;0;ATLAS;1;;4/3/25;5/12/25
;● Application Architecture;1;0;ATLAS;1;;4/5/25;5/12/25
;● Automated Service Orchestration;2;0;ATLAS;1;;4/6/25;5/12/25
;● Code Reusability;1;0;ATLAS;1;;4/6/25;5/12/25
;● Complexity Reduction;4;0;ATLAS;1;;4/2/25;5/12/25
;● Controller-Worker Model;3;0;ATLAS;1;;4/5/25;5/12/25
;● Core Container;2;0;ATLAS;1;;4/5/25;5/12/25
;● Core Services;35;0;ATLAS;1;;3/31/25;5/12/25
;● Data Plane;1;0;ATLAS;1;;4/5/25;5/12/25
;● Detailed Control;2;0;ATLAS;1;;4/2/25;5/12/25
;● Distributed Application;2;0;ATLAS;1;;4/6/25;5/12/25
;● Distributed Execution Framework;1;0;ATLAS;1;;4/6/25;5/12/25
;● Distributed Job Scheduler;3;0;ATLAS;1;;4/1/25;5/12/25
;● Dynamic Component Integration;1;0;ATLAS;1;;4/5/25;5/12/25
;● Extensibility;1;0;ATLAS;1;;4/5/25;5/12/25
;● Extensible Applications;1;0;ATLAS;1;;4/5/25;5/12/25
;● Extensible Design;3;0;ATLAS;1;;4/5/25;5/12/25
;● Integration of Components;2;0;ATLAS;1;;4/5/25;5/12/25
;● Inter-Module Communication;13;0;ATLAS;1;;4/1/25;5/12/25
;● Interface Definition;1;0;ATLAS;1;;4/5/25;5/12/25
;● Master-Minion Architecture;1;0;ATLAS;1;;4/5/25;5/12/25
;● Merge Restrictions;1;0;ATLAS;1;;4/6/25;5/12/25
;● Microservices Architecture;1;0;ATLAS;1;;4/5/25;5/12/25
;● Modular Application Development;1;0;ATLAS;1;;4/5/25;5/12/25
;● Modular Architecture;11;0;ATLAS;1;;4/2/25;5/12/25
;● Module Integration;1;0;ATLAS;1;;4/6/25;5/12/25
;● Multi-Layer Architecture;1;0;Jander;1;;4/5/25;5/12/25
;● Multi-Tenant Architecture;3;0;ATLAS;1;;4/5/25;5/12/25
;● Multiple Architectures;2;0;ATLAS;1;;4/5/25;5/12/25
;● Node Execution;2;0;ATLAS;1;;4/5/25;5/12/25
;● Orchestration Layer;1;0;ATLAS;1;;4/6/25;5/12/25
;● Pipeline Management;2;0;ATLAS;1;;4/5/25;5/12/25
;● Plug-in Integration;1;0;ATLAS;1;;4/6/25;5/12/25
;● Plug-ins;1;0;ATLAS;1;;4/6/25;5/12/25
;● Process Communication;2;0;ATLAS;1;;4/5/25;5/12/25
;● Process Role Categorization;1;0;ATLAS;1;;4/5/25;5/12/25
;● Self-Adaptive Architecrutes;2;0;Jander;1;;4/2/25;5/12/25
;● Standard-Based;1;0;ATLAS;1;;4/6/25;5/12/25
;● Stateless Architecture;1;0;ATLAS;1;;4/3/25;5/12/25
;● Workflow Configuration;2;0;ATLAS;1;;4/4/25;5/12/25
● T5. Edge‑Cloud Continuum Integration & Messaging Middleware;;90;0;Themes;1;;4/9/25;5/12/25
;● Broker Configuration;2;0;ATLAS;1;;4/3/25;5/12/25
;● Channel Management;2;0;ATLAS;1;;4/1/25;5/12/25
;● Cloud Connection;1;0;ATLAS;1;;4/5/25;5/12/25
;● Cloud Integration;38;0;ATLAS;1;;3/31/25;5/12/25
;● Cloud to Edge Communication;16;0;ATLAS;1;;4/1/25;5/12/25
;● Domain Interconnection;1;0;ATLAS;1;;4/5/25;5/12/25
;● External System Integration;5;0;ATLAS;1;;4/2/25;5/12/25
;● Fog Computing;3;0;ATLAS;1;;4/5/25;5/12/25
;● Fog Instance Connection;2;0;ATLAS;1;;4/5/25;5/12/25
;● GraphQL API;1;0;ATLAS;1;;4/5/25;5/12/25
;● High-Performance Messaging;4;0;ATLAS;1;;4/5/25;5/12/25
;● Illusion of Continuity;1;0;ATLAS;1;;4/6/25;5/12/25
;● Interoperability of Different Services;9;0;Jander;1;;4/2/25;5/12/25
;● IoT Service Providers;1;0;ATLAS;1;;4/6/25;5/12/25
;● Lightweight Messaging System;3;0;ATLAS;1;;4/5/25;5/12/25
;● Management and Routing Tasks;1;0;ATLAS;1;;4/5/25;5/12/25
;● Message Structure;1;0;ATLAS;1;;4/5/25;5/12/25
;● Middleware Integration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Multi-cloud;1;0;ATLAS;1;;4/5/25;5/12/25
;● Network Server Integration;1;0;ATLAS;1;;4/5/25;5/12/25
;● Payload Schema Specifications;1;0;ATLAS;1;;4/3/25;5/12/25
;● Pluggable Transport System;1;0;ATLAS;1;;4/5/25;5/12/25
;● Protocol Translation;3;0;ATLAS;1;;4/3/25;5/12/25
;● Pub/Sub Messaging Service;2;0;ATLAS;1;;4/6/25;5/12/25
;● Redis Message Broker;2;0;ATLAS;1;;4/5/25;5/12/25
;● Reliable Cloud Connectivity;2;0;ATLAS;1;;4/5/25;5/12/25
;● Route Configuration;2;0;ATLAS;1;;4/4/25;5/12/25
;● Server Connect Token;1;0;ATLAS;1;;4/5/25;5/12/25
;● Server URI Specification;1;0;ATLAS;1;;4/5/25;5/12/25
;● Service Hosting;1;0;ATLAS;1;;4/5/25;5/12/25
;● Service Invocation;1;0;ATLAS;1;;4/5/25;5/12/25
;● Shared Services;1;0;ATLAS;1;;4/6/25;5/12/25
;● Simplified Cloud Connectivity;1;0;ATLAS;1;;4/5/25;5/12/25
;● Sparkplug Specification;1;0;ATLAS;1;;4/5/25;5/12/25
;● Third Party Application Integration;1;0;ATLAS;1;;4/5/25;5/12/25
;● ZeroMQ Transport;1;0;ATLAS;1;;4/5/25;5/12/25
● T6. Digital Twins & Device State Management;;8;0;Themes;1;;4/9/25;5/12/25
;● Digital Twin;6;0;ATLAS;1;;4/5/25;5/12/25
;● Object State Reporting;4;0;ATLAS;1;;4/5/25;5/12/25
● T7. Infrastructure Automation & Configuration Management;;31;0;Themes;1;;4/9/25;5/12/25
;● Configuration Management;12;0;ATLAS;1;;4/1/25;5/12/25
;● Environment Variables;1;0;ATLAS;1;;4/5/25;5/12/25
;● Format Property Configuration;1;0;ATLAS;1;;4/2/25;5/12/25
;● Hierarchical Configuration;1;0;ATLAS;1;;4/5/25;5/12/25
;● Image Address;1;0;ATLAS;1;;3/25/25;5/12/25
;● Image Size Configuration;1;0;ATLAS;1;;4/1/25;5/12/25
;● Infrastructure Accommodation;1;0;ATLAS;1;;4/5/25;5/12/25
;● Infrastructure Services;2;0;ATLAS;1;;4/6/25;5/12/25
;● Non-Zero Length String;1;0;ATLAS;1;;4/5/25;5/12/25
;● Package Purging;1;0;ATLAS;1;;4/5/25;5/12/25
;● path settings;4;0;ATLAS;1;;3/25/25;5/12/25
;● Source Definition;2;0;ATLAS;1;;4/2/25;5/12/25
;● Source Instance;2;0;ATLAS;1;;4/2/25;5/12/25
;● State Serialization;2;0;ATLAS;1;;4/2/25;5/12/25
;● Target Definition;1;0;ATLAS;1;;4/5/25;5/12/25
● T8. Observability, Monitoring & Diagnostics;;38;0;Themes;1;;4/9/25;5/12/25
;● Automatic Troubleshooting Strategy;1;0;ATLAS;1;;4/2/25;5/12/25
;● Endpoint Health Management;3;0;ATLAS;1;;4/2/25;5/12/25
;● Event Logging;2;0;ATLAS;1;;4/3/25;5/12/25
;● Failure Detection;2;0;ATLAS;1;;4/2/25;5/12/25
;● Health Monitoring Feature;1;0;ATLAS;1;;4/5/25;5/12/25
;● Logger Configuration;3;0;ATLAS;1;;3/25/25;5/12/25
;● Metrics Collection;2;0;ATLAS;1;;4/5/25;5/12/25
;● Metrics Endpoint;1;0;ATLAS;1;;4/3/25;5/12/25
;● Monitoring;22;0;ATLAS;1;;3/31/25;5/12/25
;● Network Failure Detection;1;0;ATLAS;1;;4/5/25;5/12/25
;● OpenTelemetry Support;2;0;ATLAS;1;;4/3/25;5/12/25
;● Recovery Mechanism;1;0;ATLAS;1;;4/5/25;5/12/25
;● Red Hat OpenShift Observability;2;0;ATLAS;1;;4/5/25;5/12/25
;● Reporting by Exception;1;0;ATLAS;1;;4/5/25;5/12/25
;● Reporting Process;1;0;ATLAS;1;;4/6/25;5/12/25
;● Rollback Capability;1;0;ATLAS;1;;4/2/25;5/12/25
;● Status Monitoring;1;0;ATLAS;1;;4/5/25;5/12/25
;● Status Notification;3;0;ATLAS;1;;4/3/25;5/12/25
;● Submodule Restart;1;0;ATLAS;1;;4/1/25;5/12/25
;● Telemetry Management;1;0;ATLAS;1;;4/4/25;5/12/25
;● TIG Stack;1;0;ATLAS;1;;4/5/25;5/12/25
● T9. Optimised AI/ML Execution at the Edge;;93;0;Themes;1;;4/9/25;5/12/25
;● AI Skill Definitions;1;0;ATLAS;1;;4/5/25;5/12/25
;● AI/ML Inference;3;0;ATLAS;1;;4/5/25;5/12/25
;● AOT Configuration;2;0;ATLAS;1;;4/2/25;5/12/25
;● Background Process Invocation;1;0;ATLAS;1;;4/5/25;5/12/25
;● Data Preprocessing;2;0;ATLAS;1;;4/2/25;5/12/25
;● Distributed AI Processing;11;0;Jander;1;;4/1/25;5/12/25
;● Edge Data Processing Applications;25;0;ATLAS;1;;3/31/25;5/12/25
;● Edge Runtime;4;0;ATLAS;1;;4/4/25;5/12/25
;● Efficient Execution;16;0;ATLAS;1;;4/2/25;5/12/25
;● Flexible Edge Computing Services;6;0;ATLAS;1;;4/3/25;5/12/25
;● Function Synchronization;1;0;ATLAS;1;;4/5/25;5/12/25
;● Hyperparameter Tuning;0;0;ATLAS;1;;4/2/25;5/12/25
;● Lightweight Runtime;10;0;ATLAS;1;;4/2/25;5/12/25
;● Local Processing;2;0;ATLAS;1;;4/5/25;5/12/25
;● Memory Layout Conversion;2;0;ATLAS;1;;4/3/25;5/12/25
;● Memory Management;5;0;ATLAS;1;;4/3/25;5/12/25
;● Model Aggregation;2;0;ATLAS;1;;4/5/25;5/12/25
;● Model Deployment;5;0;ATLAS;1;;4/3/25;5/12/25
;● Model Partition Converter;3;0;ATLAS;1;;4/1/25;5/12/25
;● Model Size Reduction;2;0;ATLAS;1;;4/2/25;5/12/25
;● Multi-threading;2;0;ATLAS;1;;4/5/25;5/12/25
;● Offline Capabilities;2;0;ATLAS;1;;4/5/25;5/12/25
;● Parallel Processing;2;0;ATLAS;1;;4/3/25;5/12/25
;● Quantization Techniques;2;0;ATLAS;1;;4/2/25;5/12/25
;● Runtime Optimization;9;0;ATLAS;1;;4/2/25;5/12/25
;● Service Offloading;1;0;ATLAS;1;;4/1/25;5/12/25
;● Signal Denoise;1;0;ATLAS;1;;4/3/25;5/12/25
;● Simplified Distributed Training;2;0;ATLAS;1;;4/2/25;5/12/25
;● Tensor Operators;1;0;ATLAS;1;;4/3/25;5/12/25
;● Tensor-Core Programs;0;0;ATLAS;1;;4/3/25;5/12/25
;● Vector Addition;1;0;ATLAS;1;;4/3/25;5/12/25
;● Waiting Mechanism;1;0;ATLAS;1;;4/5/25;5/12/25
;● Worker Threads;1;0;ATLAS;1;;4/5/25;5/12/25
● T10. Resource Efficiency & Performance Optimisation;;102;0;Themes;1;;4/9/25;5/12/25
;● Available Resources;3;0;ATLAS;1;;4/3/25;5/12/25
;● Binary Size Savings;1;0;ATLAS;1;;4/3/25;5/12/25
;● Business Demands;1;0;ATLAS;1;;4/6/25;5/12/25
;● compatibility issues;12;0;ATLAS;1;;3/31/25;5/12/25
;● Cost Reduction;1;0;ATLAS;1;;4/6/25;5/12/25
;● CPU Utilization;1;0;ATLAS;1;;4/5/25;5/12/25
;● Efficiency;1;0;ATLAS;1;;4/5/25;5/12/25
;● Essential Information;1;0;ATLAS;1;;4/5/25;5/12/25
;● Expectation Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Failure Rate;1;0;ATLAS;1;;4/5/25;5/12/25
;● Fast Response Time;1;0;ATLAS;1;;4/6/25;5/12/25
;● Fault Tolerance;1;0;ATLAS;1;;4/5/25;5/12/25
;● Future Enhancements;2;0;ATLAS;1;;4/5/25;5/12/25
;● GPU Resource Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Growing Client Needs;1;0;ATLAS;1;;4/5/25;5/12/25
;● High Concurrency;2;0;ATLAS;1;;4/5/25;5/12/25
;● Infrastructure Optimization;1;0;ATLAS;1;;4/6/25;5/12/25
;● Labeling Issues;2;0;ATLAS;1;;4/1/25;5/12/25
;● Load Balancing;6;0;ATLAS;1;;4/1/25;5/12/25
;● Low Latency;1;0;ATLAS;1;;4/6/25;5/12/25
;● Minimal Functionality;1;0;ATLAS;1;;4/5/25;5/12/25
;● Model Performance;3;0;ATLAS;1;;4/2/25;5/12/25
;● module performance;2;0;ATLAS;1;;3/31/25;5/12/25
;● New Measurement Techniques;2;0;ATLAS;1;;4/2/25;5/12/25
;● Non-Deterministic Behavior;1;0;ATLAS;1;;4/2/25;5/12/25
;● Performance Improvement;44;0;ATLAS;1;;3/31/25;5/12/25
;● Performance Metrics;1;0;Jander;1;;4/6/25;5/12/25
;● Performance Variability;8;0;ATLAS;1;;3/31/25;5/12/25
;● Portability;3;0;ATLAS;1;;4/2/25;5/12/25
;● Quality Assurance;1;0;ATLAS;1;;4/6/25;5/12/25
;● Quality Improvement;2;0;ATLAS;1;;4/3/25;5/12/25
;● Reliability;1;0;ATLAS;1;;4/5/25;5/12/25
;● Reliable Systems;1;0;ATLAS;1;;4/5/25;5/12/25
;● Repeatable Processes;1;0;ATLAS;1;;4/5/25;5/12/25
;● Robustness;1;0;ATLAS;1;;4/5/25;5/12/25
;● Scalability;13;0;ATLAS;1;;4/2/25;5/12/25
;● Service Accessibility;4;0;ATLAS;1;;4/5/25;5/12/25
;● Single Client Use Case;1;0;ATLAS;1;;4/5/25;5/12/25
;● Speedy Delivery;2;0;ATLAS;1;;4/4/25;5/12/25
;● Standard of Excellence;1;0;ATLAS;1;;4/5/25;5/12/25
;● User Satisfaction;1;0;ATLAS;1;;4/5/25;5/12/25
;● workload;2;0;Jander;1;;4/4/25;5/12/25
● T11 – Stream Processing & Event‑Driven Architectures (Edge);;47;0;Themes;1;;4/9/25;5/12/25
;● Astarte Triggers;1;0;ATLAS;1;;4/5/25;5/12/25
;● Condition Logic;1;0;ATLAS;1;;4/3/25;5/12/25
;● Continuous Streaming Data Source;3;0;ATLAS;1;;4/2/25;5/12/25
;● Customer Preferences;3;0;ATLAS;1;;4/5/25;5/12/25
;● Data Transformation and Alerting Services;11;0;ATLAS;1;;3/31/25;5/12/25
;● Envio de notificações;0;0;GPT;1;;4/7/25;5/12/25
;● Event API;1;0;ATLAS;1;;4/5/25;5/12/25
;● Event Detection and Notification;7;0;ATLAS;1;;3/31/25;5/12/25
;● Event Stream;1;0;ATLAS;1;;4/5/25;5/12/25
;● Eventbus Interface;1;0;ATLAS;1;;4/2/25;5/12/25
;● LeafEvent;2;0;ATLAS;1;;4/3/25;5/12/25
;● Pattern Detection;1;0;ATLAS;1;;4/5/25;5/12/25
;● Pattern Testing;1;0;ATLAS;1;;4/5/25;5/12/25
;● Prioritization of Critical Data;1;0;ATLAS;1;;4/4/25;5/12/25
;● Processing Pipeline;5;0;ATLAS;1;;4/2/25;5/12/25
;● Processing Rate Limit;1;0;ATLAS;1;;4/2/25;5/12/25
;● Queue Management;1;0;ATLAS;1;;4/5/25;5/12/25
;● Real-time Processing Needs;6;0;ATLAS;1;;4/2/25;5/12/25
;● Rule Connection;5;0;ATLAS;1;;4/2/25;5/12/25
;● Rule Weakening;1;0;ATLAS;1;;4/2/25;5/12/25
;● SQL-based Rule Engine;1;0;ATLAS;1;;4/5/25;5/12/25
;● Subscriber Action;2;0;ATLAS;1;;3/25/25;5/12/25
● T12. Data Storage, Persistence & Caching;;28;0;Themes;1;;4/9/25;5/12/25
;● Backup and Restore Functionality;4;0;ATLAS;1;;3/31/25;5/12/25
;● Data Integrity;5;0;ATLAS;1;;4/5/25;5/12/25
;● Data Persistence;1;0;ATLAS;1;;4/5/25;5/12/25
;● Data Storage Management;10;0;Jander;1;;4/1/25;5/12/25
;● Database Configuration;3;0;ATLAS;1;;4/5/25;5/12/25
;● Distributed Storage Solution;2;0;ATLAS;1;;4/5/25;5/12/25
;● Local Storage;2;0;ATLAS;1;;4/5/25;5/12/25
;● restrictions to storage volume;4;0;ATLAS;1;;3/25/25;5/12/25
;● S3;1;0;ATLAS;1;;4/5/25;5/12/25
;● Storage Engine Options;4;0;ATLAS;1;;3/31/25;5/12/25
;● Storage Volume Path;4;0;ATLAS;1;;3/25/25;5/12/25
;● Vector Database Functionality;1;0;ATLAS;1;;4/5/25;5/12/25
● T13. Sensor Abstraction & Hardware Interface Integration;;80;0;Themes;1;;4/9/25;5/12/25
;● API Integration;1;0;ATLAS;1;;4/5/25;5/12/25
;● API Readiness;1;0;ATLAS;1;;4/5/25;5/12/25
;● Astarte Integration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Camera Setup;1;0;ATLAS;1;;4/2/25;5/12/25
;● Data Collection;9;0;ATLAS;1;;4/2/25;5/12/25
;● Data Integration;8;0;ATLAS;1;;4/5/25;5/12/25
;● Driver Service;1;0;ATLAS;1;;4/5/25;5/12/25
;● Edge Device Connection;1;0;ATLAS;1;;4/5/25;5/12/25
;● Edge Node Integration;25;0;ATLAS;1;;4/1/25;5/12/25
;● Embedded Systems;1;0;ATLAS;1;;4/5/25;5/12/25
;● Hardware and Software Development;2;0;ATLAS;1;;4/2/25;5/12/25
;● Hardware Compatibility;9;0;ATLAS;1;;3/31/25;5/12/25
;● Hardware Specifications;17;0;ATLAS;1;;3/31/25;5/12/25
;● Hardware-Agnostic Specification;1;0;ATLAS;1;;4/6/25;5/12/25
;● Hybrid Edge Device;1;0;ATLAS;1;;4/3/25;5/12/25
;● Integration of DPU IP;1;0;ATLAS;1;;4/6/25;5/12/25
;● IoT Integration;4;0;ATLAS;1;;4/4/25;5/12/25
;● Linux Workload;1;0;ATLAS;1;;4/5/25;5/12/25
;● Local Device Connection;1;0;ATLAS;1;;4/5/25;5/12/25
;● Microcontroller Support;1;0;ATLAS;1;;4/5/25;5/12/25
;● Mobile IoT;1;0;ATLAS;1;;4/5/25;5/12/25
;● REST API Integration;2;0;ATLAS;1;;4/5/25;5/12/25
;● Sensor Data Handling;1;0;ATLAS;1;;4/6/25;5/12/25
;● Signal Collection;1;0;ATLAS;1;;4/3/25;5/12/25
;● Vehicle Data Management;5;0;ATLAS;1;;4/3/25;5/12/25
● T14. Edge Development Frameworks & Programmability;;75;0;Themes;1;;4/9/25;5/12/25
;● Application Creation;1;0;ATLAS;1;;4/5/25;5/12/25
;● Application Services;1;0;ATLAS;1;;4/5/25;5/12/25
