Code;Comment;Code Group 1;Code Group 2;Code Group 3;Code Group 4
T2. Security, Privacy & Trust Management: Vulnerability Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation);;Themes;;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Agent Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Alocação de jobs em múltiplos nós;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Application Deployment;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Application Registration;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Auto Discovery;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Automated Patching;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Automation;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Base Service Configuration;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Centralized Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Component Configuration;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Component Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Component Transfer;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Container Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Controller Selection;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Binding;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Creation;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Discovery;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Management;;;;Research 1;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Online Status;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Edge Device Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Edge Discovery;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Edge Environments;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Effective Provisioning;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Fleet Operators;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Gateway Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Lifecycle Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Manager Interface;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Registration;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): New Deployment Options;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Node Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Node Registration;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Provisioning;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Replica Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Continuity;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Discovery;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): System Deployment Options;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified APIs;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified Deployment;;;ATLAS;;
T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified Interface;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration;;Themes;;;
T4. Modular Edge Architecture & Service Orchestration: Abstraction Layer;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Application Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Automated Service Orchestration;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Code Reusability;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Complexity Reduction;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Controller-Worker Model;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Core Container;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Core Services;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Data Plane;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Detailed Control;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Distributed Application;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Distributed Execution Framework;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Distributed Job Scheduler;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Dynamic Component Integration;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Extensibility;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Extensible Applications;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Extensible Design;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Integration of Components;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Interface Definition;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Master-Minion Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Merge Restrictions;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Microservices Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Modular Application Development;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Modular Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Module Integration;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Multi-Layer Architecture;;;;Research 1;
T4. Modular Edge Architecture & Service Orchestration: Multi-Tenant Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Multiple Architectures;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Node Execution;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Orchestration Layer;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Pipeline Management;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Plug-in Integration;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Plug-ins;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Process Communication;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Process Role Categorization;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Self-Adaptive Architecrutes;;;;Research 1;
T4. Modular Edge Architecture & Service Orchestration: Standard-Based;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Stateless Architecture;;;ATLAS;;
T4. Modular Edge Architecture & Service Orchestration: Workflow Configuration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware;;Themes;;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Broker Configuration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Channel Management;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Connection;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Domain Interconnection;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: External System Integration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Fog Computing;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Fog Instance Connection;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: GraphQL API;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: High-Performance Messaging;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Illusion of Continuity;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Interoperability of Different Services;;;;;Research 2
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: IoT Service Providers;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Lightweight Messaging System;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Management and Routing Tasks;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Message Structure;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Middleware Integration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Multi-cloud;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Network Server Integration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Payload Schema Specifications;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Pluggable Transport System;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Protocol Translation;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Pub/Sub Messaging Service;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Redis Message Broker;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Reliable Cloud Connectivity;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Route Configuration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Server Connect Token;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Server URI Specification;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Service Hosting;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Service Invocation;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Shared Services;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Simplified Cloud Connectivity;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Sparkplug Specification;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Third Party Application Integration;;;ATLAS;;
T5. Edge‑Cloud Continuum Integration & Messaging Middleware: ZeroMQ Transport;;;ATLAS;;
T6. Digital Twins & Device State Management;;Themes;;;
T6. Digital Twins & Device State Management: Digital Twin;;;ATLAS;;
T6. Digital Twins & Device State Management: Object State Reporting;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management;;Themes;;;
T7. Infrastructure Automation & Configuration Management: Configuration Management;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Environment Variables;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Format Property Configuration;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Hierarchical Configuration;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Image Address;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Image Size Configuration;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Infrastructure Accommodation;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Infrastructure Services;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Non-Zero Length String;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Package Purging;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: path settings;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Source Definition;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Source Instance;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: State Serialization;;;ATLAS;;
T7. Infrastructure Automation & Configuration Management: Target Definition;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics;;Themes;;;
T8. Observability, Monitoring & Diagnostics: Automatic Troubleshooting Strategy;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Endpoint Health Management;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Event Logging;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Failure Detection;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Health Monitoring Feature;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Logger Configuration;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Metrics Collection;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Metrics Endpoint;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Monitoring;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Network Failure Detection;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: OpenTelemetry Support;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Recovery Mechanism;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Red Hat OpenShift Observability;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Reporting by Exception;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Reporting Process;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Rollback Capability;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Status Monitoring;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Status Notification;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Submodule Restart;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: Telemetry Management;;;ATLAS;;
T8. Observability, Monitoring & Diagnostics: TIG Stack;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge;;Themes;;;
T9. Optimised AI/ML Execution at the Edge: AI Skill Definitions;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: AI/ML Inference;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: AOT Configuration;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Background Process Invocation;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Data Preprocessing;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Distributed AI Processing;;;;Research 1;
T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Edge Runtime;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Efficient Execution;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Flexible Edge Computing Services;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Function Synchronization;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Hyperparameter Tuning;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Lightweight Runtime;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Local Processing;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Memory Layout Conversion;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Memory Management;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Model Aggregation;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Model Deployment;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Model Partition Converter;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Model Size Reduction;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Multi-threading;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Offline Capabilities;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Parallel Processing;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Quantization Techniques;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Runtime Optimization;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Service Offloading;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Signal Denoise;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Simplified Distributed Training;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Tensor Operators;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Tensor-Core Programs;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Vector Addition;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Waiting Mechanism;;;ATLAS;;
T9. Optimised AI/ML Execution at the Edge: Worker Threads;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation;;Themes;;;
T10. Resource Efficiency & Performance Optimisation: Available Resources;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Binary Size Savings;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Business Demands;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: compatibility issues;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Cost Reduction;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: CPU Utilization;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Efficiency;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Essential Information;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Expectation Management;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Failure Rate;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Fast Response Time;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Fault Tolerance;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Future Enhancements;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: GPU Resource Management;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Growing Client Needs;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: High Concurrency;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Infrastructure Optimization;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Labeling Issues;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Load Balancing;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Low Latency;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Minimal Functionality;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Model Performance;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: module performance;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: New Measurement Techniques;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Non-Deterministic Behavior;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Performance Improvement;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Performance Metrics;;;;;Research 2
T10. Resource Efficiency & Performance Optimisation: Performance Variability;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Portability;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Quality Assurance;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Quality Improvement;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Reliability;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Reliable Systems;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Repeatable Processes;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Robustness;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Scalability;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Service Accessibility;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Single Client Use Case;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Speedy Delivery;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: Standard of Excellence;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: User Satisfaction;;;ATLAS;;
T10. Resource Efficiency & Performance Optimisation: workload;;;;;Research 2
T11 – Stream Processing & Event‑Driven Architectures (Edge);;Themes;;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Astarte Triggers;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Condition Logic;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Continuous Streaming Data Source;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Customer Preferences;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Envio de notificações;;;;;Research 1
T11 – Stream Processing & Event‑Driven Architectures (Edge): Event API;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Stream;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Eventbus Interface;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): LeafEvent;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Pattern Detection;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Pattern Testing;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Prioritization of Critical Data;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Pipeline;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Rate Limit;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Queue Management;;;ATLAS;;
T11 – Stream Processing & Event‑Driven Architectures (Edge): Real-time Processing Needs;;;ATLAS;;
