Number;Reference;Name;Text Content;Document;Codes;Number of Codes;Comment;Initial Position;Final Position;Extensão;Creation Date ;Modification Date
1:12;¶ 26;;"""subscriptions: Topic routing configuration""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: path settings, T11 – Stream Processing & Event‑Driven Architectures (Edge): Subscriber Action;2;;26;26;1;3/31/25;9/14/25
1:13;¶ 28;;"""Fledge is implemented as a collection of microservices which include: Core services, Data transformation and alerting services, South services, North services, Edge data processing applications, Event detection and notification, Set point control.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Core Services, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services, T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification;4;;28;28;1;3/31/25;9/14/25
1:14;¶ 30;;"""Fledge services may also be customized by creating new plugins, written in C/C++ or Python, for data collection, processing, export, rule evaluation and event notification.""";[ATLAS] - Codifying Fragments;T4. Modular Edge Architecture & Service Orchestration: Core Services, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications;2;;30;30;1;3/31/25;9/14/25
1:15;¶ 32;;"""The type of storage engine is pluggable... SQLite may be chosen for a small footprint, Postgresql for larger installations, or in-memory storage for micro installations.""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: path settings, T12. Data Storage, Persistence & Caching: restrictions to storage volume, T12. Data Storage, Persistence & Caching: Storage Engine Options;3;;32;32;1;3/31/25;9/14/25
1:16;¶ 34;;"""South microservices offer bi-directional communication of data and metadata between Edge devices, such as sensors, actuators or PLCs and Fledge. Smaller systems may have this service installed onboard Edge devices.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Data Transmission, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications;2;;34;34;1;3/31/25;9/14/25
1:17;¶ 36;;"""Core functionality includes: Monitoring (to detect unresponsive microservices and self-heal), Audit Logging (to maintain logs of system changes), Certificate Storage (to maintain security certificates for different components), User Management (for authentication and permissions).""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: Certificate Storage, T2. Security, Privacy & Trust Management: Security Settings, T8. Observability, Monitoring & Diagnostics: Monitoring;4;;36;36;1;3/31/25;9/14/25
1:18;¶ 38;;"""North microservices offer bi-directional communication of data and metadata between the Fledge platform and larger systems located locally or in the cloud.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T1. Edge Connectivity & Communication Protocols: Data Transmission, T4. Modular Edge Architecture & Service Orchestration: Core Services, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration;4;;38;38;1;3/31/25;9/14/25
1:19;¶ 40;;"""Fledge system backup and restore functionality.""";[ATLAS] - Codifying Fragments;T12. Data Storage, Persistence & Caching: Backup and Restore Functionality;1;;40;40;1;3/31/25;9/14/25
1:20;¶ 42;;"""Although a board looks similar, it can have major differences, e.g.: Processor, RAM, Flashrom, Camera Modules, Onboard/External Antenna, etc.""";[ATLAS] - Codifying Fragments;T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;1;;42;42;1;3/31/25;9/14/25
1:21;¶ 44;;"""This can cause different Power Consumption, Power Requirements, compatibility issues, etc.""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: compatibility issues, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;2;;44;44;1;3/31/25;9/14/25
1:22;¶ 46;;"""Most manufacturers and sellers buy what's cheap today on the Asian markets... trial and error approach which ESP32-CAM Module works reliably.""";[ATLAS] - Codifying Fragments;T13. Sensor Abstraction & Hardware Interface Integration: Hardware Compatibility;1;;46;46;1;3/31/25;9/14/25
1:23;¶ 48;;"""The experience with the camera only is based on single modules... it is well possible, that this module had a damage overall and other modules of the same type will work""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: module performance, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Compatibility;2;;48;48;1;3/31/25;9/14/25
1:24;¶ 50;;"""Split the readings into two, while the decimal numbers might move too fast to be recognized, at least the slower moving part will produce a correct reading.""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: Performance Variability, T11 – Stream Processing & Event‑Driven Architectures (Edge): Data Transformation and Alerting Services;2;;50;50;1;3/31/25;9/14/25
1:25;¶ 52;;"""The ESP32-CAM supports an external antenna. It requires some soldering skills but can improve the connection quality.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connection Quality, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;3;;52;52;1;3/31/25;9/14/25
1:26;¶ 54;;""" ""fake"" chips, or maybe wrongly configured ESP32 Boards. """;[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: compatibility issues, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;2;;54;54;1;3/31/25;9/14/25
1:27;¶ 56;;"""This Project needs at least 4MB RAM!""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;2;;56;56;1;3/31/25;9/14/25
1:28;¶ 58;;"""Especially the PSRAM is sometimes labeled wrong (Label: 4MB, Real: only 2 MB --> will not work!).""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: compatibility issues, T10. Resource Efficiency & Performance Optimisation: Labeling Issues, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;3;;58;58;1;4/1/25;9/14/25
1:29;¶ 60;;"""Change the ImageSize to QVGA under 'Expert mode' configuration when close enough, this will be faster and is often good enough for digital recognition.""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Image Size Configuration, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;2;;60;60;1;4/1/25;9/14/25
1:30;¶ 62;;"""Try to get rid of the reflections by rotating the camera, so that the reflections are at positions where no number is.""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: Performance Improvement;1;;62;62;1;4/1/25;9/14/25
1:31;¶ 64;;"""A module registered with beehive can communicate with other beehive modules if the name with which other beehive module is registered or the name of the group of the module is known.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Registration, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication;3;;64;64;1;4/1/25;9/14/25
1:32;¶ 66;;"""Beehive supports following message operations: Send to a module/group, Receive by a module, Send Sync to a module/group, Send Response to a sync message.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T1. Edge Connectivity & Communication Protocols: Send and Receive Operations, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication;3;;66;66;1;4/1/25;9/14/25
1:33;¶ 68;;"""SendSync takes 3 parameters, (module, message and timeout duration).""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T1. Edge Connectivity & Communication Protocols: Send and Receive Operations;2;;68;68;1;4/1/25;9/14/25
1:34;¶ 70;;"""Receive gets the channel of a module from channels map. Then it waits for a message to arrive on that channel and returns the message. Error is returned if there is any.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T1. Edge Connectivity & Communication Protocols: Send and Receive Operations, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Channel Management, T14. Edge Development Frameworks & Programmability: Error Handling;4;;70;70;1;4/1/25;9/14/25
1:35;¶ 72;;"""If timeout is reached, return timeout error.""";[ATLAS] - Codifying Fragments;T14. Edge Development Frameworks & Programmability: Error Handling;1;;72;72;1;4/1/25;9/14/25
1:36;¶ 74;;"""Manager defines the interface of a manager, ConfigManager, Podmanager, secretmanager implements it""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Manager Interface, T4. Modular Edge Architecture & Service Orchestration: Core Services, T7. Infrastructure Automation & Configuration Management: Configuration Management;3;;74;74;1;4/1/25;9/14/25
1:37;¶ 76;;"""The main responsibility of communication module is to ensure the communication functionality between device twin and the other components.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T1. Edge Connectivity & Communication Protocols: Data Transmission, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T6. Digital Twins & Device State Management: Digital Twin;4;;76;76;1;4/1/25;9/14/25
1:38;¶ 78;;"""The device twin controller periodically (every 60 s) sends ping messages to submodules. Each of the submodules updates the timestamp in a map for itself once it receives a ping. The controller checks if the timestamp for a module is more than 2 minutes old and restarts the submodule if true.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Message Transmission, T4. Modular Edge Architecture & Service Orchestration: Inter-Module Communication, T6. Digital Twins & Device State Management: Digital Twin, T6. Digital Twins & Device State Management: Object State Reporting, T8. Observability, Monitoring & Diagnostics: Monitoring, T8. Observability, Monitoring & Diagnostics: Submodule Restart, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;7;;78;78;1;4/1/25;9/14/25
1:39;¶ 80;;"""The main responsibility of the membership module is to provide membership to the new devices added through the cloud to the edge node. This module binds the newly added devices to the edge node and creates a membership between the edge node and the edge devices.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Binding, T4. Modular Edge Architecture & Service Orchestration: Core Services, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration;5;Maybe use in ARGUS project;80;80;1;4/1/25;9/14/25
1:40;¶ 82;;"""Registers the four device twin modules and starts them as separate go routines.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Binding, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Module Registration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T6. Digital Twins & Device State Management: Digital Twin;4;;82;82;1;4/1/25;9/14/25
1:41;¶ 84;;"""It checks if the device in the device twin context (the list of devices are stored inside the device twin context), if not it adds a mutex to the context.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud to Edge Communication, T6. Digital Twins & Device State Management: Digital Twin, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration;4;;84;84;1;4/1/25;9/14/25
1:42;¶ 86;;"""The main responsibility of the twin module is to deal with all the device twin-related operations. It can perform operations like device twin update, device twin get and device twin sync-to-cloud.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Device Binding, T6. Digital Twins & Device State Management: Digital Twin, T6. Digital Twins & Device State Management: Object State Reporting, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;4;;86;86;1;4/1/25;9/14/25
1:43;¶ 88;;"""Several OCI-compliant runtimes are supported through the Container Runtime Interface (CRI).""";[ATLAS] - Codifying Fragments;T10. Resource Efficiency & Performance Optimisation: compatibility issues, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T15. DevOps, CI/CD & Build Environments for Edge: OCI-compliant Runtimes;3;;88;88;1;4/1/25;9/14/25
1:44;¶ 90;;"""Edged uses the MetaClient module to fetch secrets from MetaManager.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: Authentication Methods;2;;90;90;1;4/1/25;9/14/25
1:45;¶ 92;;"""Edge hub is responsible for interacting with CloudHub component present in the cloud. It can connect to the CloudHub using either a web-socket connection or using QUIC protocol.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T1. Edge Connectivity & Communication Protocols: Communication Protocol, T1. Edge Connectivity & Communication Protocols: Web-Socket Connection, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration;5;;92;92;1;4/1/25;9/14/25
1:46;¶ 94;;"""It supports functions like sync cloud side resources update, report edged side host and device status changes.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T8. Observability, Monitoring & Diagnostics: Monitoring, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;3;;94;94;1;4/1/25;9/14/25
1:47;¶ 96;;Eventbus acts as an interface for sending/receiving messages on mqtt topics;[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Bi-Directional Communication, T1. Edge Connectivity & Communication Protocols: Communication Protocol, T1. Edge Connectivity & Communication Protocols: Message Transmission, T1. Edge Connectivity & Communication Protocols: Send and Receive Operations, T11 – Stream Processing & Event‑Driven Architectures (Edge): Eventbus Interface;5;;96;96;1;4/2/25;9/14/25
1:48;¶ 120;;"""Defines the continuous streaming data source as the input, the computing logic and the result actions as the output""";[ATLAS] - Codifying Fragments;T11 – Stream Processing & Event‑Driven Architectures (Edge): Continuous Streaming Data Source;1;;120;120;1;4/2/25;9/14/25
1:49;¶ 122;;"""Benefit from Go concurrency model, the runtime flow of a rule can communicate asynchronously and non-blocking""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Asynchronous Communication, T1. Edge Connectivity & Communication Protocols: Data Transmission;2;;122;122;1;4/2/25;9/14/25
1:50;¶ 124;;"""Each rule can specify the operator buffer to limit the processing rate""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Configuration Management, T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Rate Limit, T12. Data Storage, Persistence & Caching: restrictions to storage volume;3;;124;124;1;4/2/25;9/14/25
1:51;¶ 126;;"""Sinks are used to write data to an external system""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: External System Integration, T12. Data Storage, Persistence & Caching: Data Storage Management;2;;126;126;1;4/2/25;9/14/25
1:52;¶ 128;;"""Users can define the format to decode by setting format property (json, binary, protobuf)""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Configuration Management, T7. Infrastructure Automation & Configuration Management: Format Property Configuration;2;;128;128;1;4/2/25;9/14/25
1:53;¶ 130;;"""Each rule will have its own, standalone source instance from other rules""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: Security Settings, T7. Infrastructure Automation & Configuration Management: Source Instance;3;;130;130;1;4/2/25;9/14/25
1:54;¶ 132;;"""Users can also use mqtt or other sink/source pair to connect rules""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Communication Protocol, T1. Edge Connectivity & Communication Protocols: Data Transmission, T7. Infrastructure Automation & Configuration Management: Source Instance, T11 – Stream Processing & Event‑Driven Architectures (Edge): Rule Connection;4;;132;132;1;4/2/25;9/14/25
1:55;¶ 134;;"""Users can develop a sink extension for detailed control""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Device Access Control, T4. Modular Edge Architecture & Service Orchestration: Detailed Control;2;;134;134;1;4/2/25;9/14/25
1:56;¶ 136;;"""The source can be defined as shared to boost performance""";[ATLAS] - Codifying Fragments;T7. Infrastructure Automation & Configuration Management: Source Definition, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;2;;136;136;1;4/2/25;9/14/25
1:57;¶ 138;;"""Multiple rules can form a processing pipeline""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: External System Integration, T11 – Stream Processing & Event‑Driven Architectures (Edge): Processing Pipeline, T11 – Stream Processing & Event‑Driven Architectures (Edge): Rule Connection;3;;138;138;1;4/2/25;9/14/25
1:58;¶ 140;;"""Access to hardware root of trust (e.g. TPM) when deployed on bare metal, supporting functions such as crypto-based ID (no device usernames and passwords), measured boot, remote attestation, signed updates, encryption, etc.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: Authentication Methods, T2. Security, Privacy & Trust Management: Crypto-based ID, T2. Security, Privacy & Trust Management: Security Settings;4;;140;140;1;4/2/25;9/14/25
1:59;¶ 142;;"""Ability to block unused I/O ports to prevent physical tampering""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Access Control, T2. Security, Privacy & Trust Management: Device Access Control, T2. Security, Privacy & Trust Management: Physical Tampering Prevention, T2. Security, Privacy & Trust Management: Security Settings;4;;142;142;1;4/2/25;9/14/25
1:60;¶ 144;;"""High efficiency and usage of device resources including remote control of CPU, memory, networking and edge device I/O ports""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Device Access Control, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T9. Optimised AI/ML Execution at the Edge: Edge Data Processing Applications, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;4;;144;144;1;4/2/25;9/14/25
1:61;¶ 146;;"""Hosting of any combination of apps in virtual machines, containers and Kubernetes clusters""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Interoperability of Different Services, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration, T15. DevOps, CI/CD & Build Environments for Edge: OCI-compliant Runtimes;4;;146;146;1;4/2/25;9/14/25
1:62;¶ 148;;"""Remote updates of entire software stack with rollback capability to prevent bricking""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Remote Control, T2. Security, Privacy & Trust Management: Security Settings, T8. Observability, Monitoring & Diagnostics: Rollback Capability, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;4;;148;148;1;4/2/25;9/14/25
1:63;¶ 150;;"""Automated patching for security updates""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Security Settings, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Automated Patching;2;;150;150;1;4/2/25;9/14/25
1:64;¶ 152;;"""EVE-OS can be deployed on any bare metal hardware (e.g., x86, Arm, GPU, RISC-V) or within a VM to provide consistent system and orchestration services""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): System Deployment Options, T10. Resource Efficiency & Performance Optimisation: compatibility issues, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Compatibility;3;;152;152;1;4/2/25;9/14/25
1:65;¶ 154;;"""EVE-OS enables scalable, centralized management for large volumes of highly-distributed edge compute nodes""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Centralized Management, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T4. Modular Edge Architecture & Service Orchestration: Distributed Job Scheduler, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T10. Resource Efficiency & Performance Optimisation: Scalability;5;;154;154;1;4/2/25;9/14/25
1:66;¶ 156;;"""The rationale of external mode is to provide users a similar look and feel whether running loxilb in an on-prem or public cloud environment.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: External System Integration, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment;3;;156;156;1;4/2/25;9/14/25
1:67;¶ 158;;"""Public-cloud environments usually run load-balancers/firewalls externally in order to provide a secure/dmz perimeter layer outside actual workloads.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: DMZ Configuration, T2. Security, Privacy & Trust Management: Perimeter Security, T2. Security, Privacy & Trust Management: Security Settings, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: External System Integration, T10. Resource Efficiency & Performance Optimisation: Load Balancing;6;;158;158;1;4/2/25;9/14/25
1:68;¶ 160;;"""kube-loxilb runs as a deloyment set in kube-system namespace. It is a control-plane component that always runs inside k8s cluster and watches k8s system for changes to nodes/end-points/reachability/LB services etc.""";[ATLAS] - Codifying Fragments;T8. Observability, Monitoring & Diagnostics: Monitoring, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment, T15. DevOps, CI/CD & Build Environments for Edge: Kubernetes Cluster Management;3;;160;160;1;4/2/25;9/14/25
1:70;¶ 162;;"""loxilb docker is a self-contained entity and easily managed with well-known tools like docker, containerd, podman etc.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Resource Management, T15. DevOps, CI/CD & Build Environments for Edge: Docker Container Mode;2;;162;162;1;4/2/25;9/14/25
1:71;¶ 164;;"""Need fast failover detection and service continuity.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Continuity, T8. Observability, Monitoring & Diagnostics: Monitoring, T10. Resource Efficiency & Performance Optimisation: Load Balancing, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification;5;;164;164;1;4/2/25;9/14/25
1:72;¶ 166;;"""Tracks and directs the external traffic destined to svc to the endpoints. Monitors endpoint's health and chooses active endpoints, if configured.""";[ATLAS] - Codifying Fragments;T1. Edge Connectivity & Communication Protocols: Connection Quality, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management, T8. Observability, Monitoring & Diagnostics: Endpoint Health Management, T8. Observability, Monitoring & Diagnostics: Monitoring;4;;166;166;1;4/2/25;9/14/25
1:73;¶ 168;;"""Sets up loxilb in one-arm svc mode towards end-points.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Device Access Control, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management, T8. Observability, Monitoring & Diagnostics: Endpoint Health Management;3;;168;168;1;4/2/25;9/14/25
1:74;¶ 170;;"""--blacklist=cni[0-9a-z]|veth.|flannel."" [...] ""regex must be used with calico CNI.""";[ATLAS] - Codifying Fragments;T2. Security, Privacy & Trust Management: Security Settings, T7. Infrastructure Automation & Configuration Management: Configuration Management;2;;170;170;1;4/2/25;9/14/25
1:75;¶ 172;;"""In case of failure, BFD will detect the failure. BACKUP loxilb will update its state to new master.""";[ATLAS] - Codifying Fragments;T8. Observability, Monitoring & Diagnostics: Failure Detection, T8. Observability, Monitoring & Diagnostics: Monitoring, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T11 – Stream Processing & Event‑Driven Architectures (Edge): Event Detection and Notification, T12. Data Storage, Persistence & Caching: Backup and Restore Functionality, T14. Edge Development Frameworks & Programmability: Error Handling;6;;172;172;1;4/2/25;9/14/25
1:76;¶ 174;;"""Efficient execution is reflected in computing, data preprocessing, and distributed training.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Data Preprocessing, T9. Optimised AI/ML Execution at the Edge: Distributed AI Processing, T9. Optimised AI/ML Execution at the Edge: Efficient Execution, T10. Resource Efficiency & Performance Optimisation: Performance Improvement;4;;174;174;1;4/2/25;9/14/25
1:77;¶ 176;;"""Compiler Optimization (MindCompiler): [...] performs global performance optimizations, including hardware-independent optimizations such as auto-differentiation and algebraic reduction, and hardware-relevant optimizations such as graph-operation fusion and operation generation.""";[ATLAS] - Codifying Fragments;T9. Optimised AI/ML Execution at the Edge: Efficient Execution, T10. Resource Efficiency & Performance Optimisation: Performance Improvement, T13. Sensor Abstraction & Hardware Interface Integration: Hardware Specifications;3;;176;176;1;4/2/25;9/14/25
1:78;¶ 178;;"""Unified deployment for all scenarios means that the framework supports cloud, edge, and device scenarios.""";[ATLAS] - Codifying Fragments;T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Service Management, T3. Device Lifecycle Management (Provisoning → Deployment → Operation): Unified Deployment, T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Cloud Integration, T13. Sensor Abstraction & Hardware Interface Integration: Edge Node Integration, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment;5;;178;178;1;4/2/25;9/14/25
1:79;¶ 180;;"""MindIR provides a unified IR format for the device and cloud, which defines logical network structures and operator attributes through a unified IR, and decouples model files in MindIR format from hardware platforms to implement one-time training and multiple-time deployment.""";[ATLAS] - Codifying Fragments;T5. Edge‑Cloud Continuum Integration & Messaging Middleware: Interoperability of Different Services, T9. Optimised AI/ML Execution at the Edge: Distributed AI Processing, T15. DevOps, CI/CD & Build Environments for Edge: Deployment Environment;3;;180;180;1;4/2/25;9/14/25
