frag_ID,repo_ID,repo_name,fragments,quality_requirements (ISO 25010),fragments_source
F027,37,baetyl/baetyl,"""principals: ACL configuration. If not configured, client cannot connect to this Hub.""",Security,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F028,37,baetyl/baetyl,"""message: length: max: 32k, maximum message length that can be transmitted.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F029,37,baetyl/baetyl,"""ingress: buffer: size: 10000, means the number of messages that can be cached in memory with QoS 0.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F030,37,baetyl/baetyl,"""egress: buffer: size: 100, the size of the message buffer not confirmed (ack) after QoS 1.""",Performance Efficiency,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F031,37,baetyl/baetyl,"""storage: dir: var/db/baetyl/data, database storage directory.""",Maintainability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F032,37,baetyl/baetyl,"""status: logging: enable: false, interval: 60s""",Maintainability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F033,37,baetyl/baetyl,"""logger: format: text or json, log print format.""",Flexibility,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F034,37,baetyl/baetyl,"""listen: [MUST] Listening address.""",Flexibility,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F035,37,baetyl/baetyl,"""subscriptions: Topic routing configuration""",Interaction Capability,https://baetyl.readthedocs.io/en/1.0.0/guides/Config-interpretation.html#baetyl-hub
F036,95,fledge-iot/fledge,"""Fledge is implemented as a collection of microservices which include: Core services, Data transformation and alerting services, South services, North services, Edge data processing applications, Event detection and notification, Set point control.""",Flexibility; Maintainability,https://fledge-iot.readthedocs.io/en/latest/introduction.html?highlight=overview#architectural-overview
F037,95,fledge-iot/fledge,"""Fledge services may also be customized by creating new plugins, written in C/C++ or Python, for data collection, processing, export, rule evaluation and event notification.""",Flexibility; Maintainability,https://fledge-iot.readthedocs.io/en/latest/introduction.html?highlight=overview#architectural-overview
F038,95,fledge-iot/fledge,"""The type of storage engine is pluggable... SQLite may be chosen for a small footprint, Postgresql for larger installations, or in-memory storage for micro installations.""",Compatibility,https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#storage-layer
F039,95,fledge-iot/fledge,"""South microservices offer bi-directional communication of data and metadata between Edge devices, such as sensors, actuators or PLCs and Fledge. Smaller systems may have this service installed onboard Edge devices.""",Performance Efficiency,https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#south-microservices
F040,95,fledge-iot/fledge,"""Core functionality includes: Monitoring (to detect unresponsive microservices and self-heal), Audit Logging (to maintain logs of system changes), Certificate Storage (to maintain security certificates for different components), User Management (for authentication and permissions).""",Security,https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#fledge-core
F041,95,fledge-iot/fledge,"""North microservices offer bi-directional communication of data and metadata between the Fledge platform and larger systems located locally or in the cloud.""",Compatibility,https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#north-microservices
F042,95,fledge-iot/fledge,"""Fledge system backup and restore functionality.""",Reliability,https://fledge-iot.readthedocs.io/en/latest/fledge_architecture.html#fledge-core
F043,130,jomjol/AI-on-the-edge-device,"""Although a board looks similar, it can have major differences, e.g.: Processor, RAM, Flashrom, Camera Modules, Onboard/External Antenna, etc.""",Compatibility,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F044,130,jomjol/AI-on-the-edge-device,"""This can cause different Power Consumption, Power Requirements, compatibility issues, etc.""",Compatibility,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F045,130,jomjol/AI-on-the-edge-device,"""Most manufacturers and sellers buy what's cheap today on the Asian markets... trial and error approach which ESP32-CAM Module works reliably.""",Reliability,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F046,130,jomjol/AI-on-the-edge-device,"""The experience with the camera only is based on single modules... it is well possible, that this module had a damage overall and other modules of the same type will work""",Reliability,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F047,130,jomjol/AI-on-the-edge-device,"""Filter out the Number '9', as '3' will often be misread for a '9' and void every number between 3 and 9 due to it being negative flow.""",Reliability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F048,130,jomjol/AI-on-the-edge-device,"""Split the readings into two, while the decimal numbers might move too fast to be recognized, at least the slower moving part will produce a correct reading.""",Reliability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F049,130,jomjol/AI-on-the-edge-device,"""The ESP32-CAM supports an external antenna. It requires some soldering skills but can improve the connection quality.""",Maintainability,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F050,130,jomjol/AI-on-the-edge-device,""" ""fake"" chips, or maybe wrongly configured ESP32 Boards. """,Maintainability,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F051,130,jomjol/AI-on-the-edge-device,"""This can be done wherever the data ends up being sent, like home assistant using sensor templates.""",Maintainability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F052,130,jomjol/AI-on-the-edge-device,"""This Project needs at least 4MB RAM!""",Performance Efficiency,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F053,130,jomjol/AI-on-the-edge-device,"""Especially the PSRAM is sometimes labeled wrong (Label: 4MB, Real: only 2 MB --> will not work!).""",Performance Efficiency,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F054,130,jomjol/AI-on-the-edge-device," ""Smaller cards (up to 4 GB) tend to be more stable and larger cards have more problems.""",Performance Efficiency,https://jomjol.github.io/AI-on-the-edge-device-docs/Hardware-Compatibility/
F055,130,jomjol/AI-on-the-edge-device,"""If you are using a low resolution and only digital mode, processing can often be done in <1 minute.""",Performance Efficiency,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F056,130,jomjol/AI-on-the-edge-device,"""Check the logs to confirm how fast it is and then set the interval accordingly under 'Expert mode' in configuration, as the normal mode will lock you to 3+ minutes.""",Performance Efficiency,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F057,130,jomjol/AI-on-the-edge-device,"""Move the Camera as close as possible (~4cm)... focus can be adjusted by turning the outer black ring of the camera.""",Interaction Capability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F058,130,jomjol/AI-on-the-edge-device,"""Change the ImageSize to QVGA under 'Expert mode' configuration when close enough, this will be faster and is often good enough for digital recognition.""",Interaction Capability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F059,130,jomjol/AI-on-the-edge-device,"""Try to get rid of the reflections by rotating the camera, so that the reflections are at positions where no number is.""",Interaction Capability,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F060,130,jomjol/AI-on-the-edge-device,"""If the LED reflections are too strong, put tape over the LED to diffuse the light.""",Flexibility,https://jomjol.github.io/AI-on-the-edge-device-docs/Best-Practice/
F061,138,kubeedge/kubeedge,"""A module registered with beehive can communicate with other beehive modules if the name with which other beehive module is registered or the name of the group of the module is known.""",Compatibility,https://kubeedge.io/docs/architecture/beehive/#beehive-overview
F062,138,kubeedge/kubeedge,"""Beehive supports following message operations: Send to a module/group, Receive by a module, Send Sync to a module/group, Send Response to a sync message.""",Compatibility,https://kubeedge.io/docs/architecture/beehive/#beehive-overview
F063,138,kubeedge/kubeedge,"""channels: channels is a map of string(key) which is name of module and chan(value) of message which will used to send message to the respective module.""",Compatibility,https://kubeedge.io/docs/architecture/beehive/#channel-context-structure-fields
F064,138,kubeedge/kubeedge,"""SendSync takes 3 parameters, (module, message and timeout duration).""",Performance Efficiency,https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-module
F065,138,kubeedge/kubeedge,"""If message is received before timeout, message is returned with nil error or else timeout error is returned.""",Performance Efficiency,https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-module
F066,138,kubeedge/kubeedge,"""At regular intervals (default is 20 milliseconds), check if the length of anonChannel = no of modules in that group.""",Performance Efficiency,https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-group
F067,138,kubeedge/kubeedge,"""Receive gets the channel of a module from channels map. Then it waits for a message to arrive on that channel and returns the message. Error is returned if there is any.""",Reliability,https://kubeedge.io/docs/architecture/beehive/#receive-by-a-module
F068,138,kubeedge/kubeedge,"""If timeout is reached, return timeout error.""",Reliability,https://kubeedge.io/docs/architecture/beehive/#sendsync-to-a-group
F069,138,kubeedge/kubeedge,"""If channel exists, message(response) is sent on that channel. Or else error is logged.""",Reliability,https://kubeedge.io/docs/architecture/beehive/#sendresp-to-a-sync-message
F070,138,kubeedge/kubeedge,"""It supports both web-socket based connection as well as a QUIC protocol access at the same time.""",Compatibility,https://kubeedge.io/docs/architecture/cloud/cloudhub
F071,138,kubeedge/kubeedge,"""The connection to the edge(through EdgeHub module) is done through the HTTP over websocket connection. For internal communication it directly communicates with the Controllers.""",Performance Efficiency,https://kubeedge.io/docs/architecture/cloud/cloudhub
F072,138,kubeedge/kubeedge,"""TLS certificates are loaded through the path provided in the context object.""",Security,https://kubeedge.io/docs/architecture/cloud/cloudhub
F073,138,kubeedge/kubeedge,"""HTTP server is started with TLS configurations.""",Security,https://kubeedge.io/docs/architecture/cloud/cloudhub
F074,138,kubeedge/kubeedge,"""A default message with timestamp, clientID and event type is sent to controller every time a request is made to websocket connection.""",Reliability,https://kubeedge.io/docs/architecture/cloud/cloudhub
F075,138,kubeedge/kubeedge,"""The downstream controller watches for device updates against the K8S API server."" ",Reliability,https://kubeedge.io/docs/architecture/cloud/device_controller/#downstream-controller
F076,138,kubeedge/kubeedge,"""The device controller is the cloud component of KubeEdge which is responsible for device management."" ",Maintainability,https://kubeedge.io/docs/architecture/cloud/device_controller/#device-controller-overview
F077,138,kubeedge/kubeedge,"""Device management in KubeEdge is implemented by making use of Kubernetes Custom Resource Definitions (CRDs) to describe device metadata/status and a device controller to synchronize these devices updates between edge and cloud."" ",Compatibility,https://kubeedge.io/docs/architecture/cloud/device_controller/#device-controller-overview
F078,138,kubeedge/kubeedge,"""The device controller starts two separate goroutines called upstream controller and downstream controller."" ",Performance Efficiency,https://kubeedge.io/docs/architecture/cloud/device_controller/#device-controller-overview
F079,138,kubeedge/kubeedge,"""The upstream controller watches for updates from the edge node and applies the updates against the API server in the cloud."" ",Reliability,https://kubeedge.io/docs/architecture/cloud/device_controller/#upstream-controller
F080,138,kubeedge/kubeedge,"""EdgeController is the bridge between Kubernetes Api-Server and edgecore""",Compatibility,https://kubeedge.io/docs/architecture/cloud/edge_controller
F081,138,kubeedge/kubeedge,"""Manager defines the interface of a manager, ConfigManager, Podmanager, secretmanager implements it""",Maintainability,https://kubeedge.io/docs/architecture/cloud/edge_controller#controller-manager
F082,138,kubeedge/kubeedge,"""Creates an eventManager(configMaps, pod, secrets) which will start a CommonResourceEventHandler, NewListWatch and a newShared Informer for each event to sync(add/update/delete)event(pod, configmap, secret) to edgecore via cloudHub""",Performance Efficiency,https://kubeedge.io/docs/architecture/cloud/edge_controller#controller-manager
F083,138,kubeedge/kubeedge,"""Downstream controller: Watches K8S Api-server and sends updates to edgecore via cloudHub""",Reliability,https://kubeedge.io/docs/architecture/cloud/edge_controller#downstream-controller
F084,138,kubeedge/kubeedge,"""UpstreamController receives messages from edgecore and syncs the updates to K8S-Api-server""",Reliability,https://kubeedge.io/docs/architecture/cloud/edge_controller#upstream-controller
F085,138,kubeedge/kubeedge,"""The main responsibility of communication module is to ensure the communication functionality between device twin and the other components.""","Compatibility, Flexibility, Maintainability",https://kubeedge.io/docs/architecture/edge/devicetwin/#communication-module
F086,138,kubeedge/kubeedge,"""The main responsibility of the device module is to perform the device related operations like dealing with device state updates and device attribute updates.""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/devicetwin/#device-module
F087,138,kubeedge/kubeedge,"""The device twin controller periodically (every 60 s) sends ping messages to submodules. Each of the submodules updates the timestamp in a map for itself once it receives a ping. The controller checks if the timestamp for a module is more than 2 minutes old and restarts the submodule if true.""","Performance Efficiency, Maintainability, Flexibility",https://kubeedge.io/docs/architecture/edge/devicetwin/#health-check
F088,138,kubeedge/kubeedge,"""The main responsibility of the membership module is to provide membership to the new devices added through the cloud to the edge node. This module binds the newly added devices to the edge node and creates a membership between the edge node and the edge devices.""","Security, Reliability",https://kubeedge.io/docs/architecture/edge/devicetwin/#membership-module
F089,138,kubeedge/kubeedge,"""DeviceTwin module is responsible for storing device status, dealing with device attributes, handling device twin operations, creating a membership between the edge device and edge node, syncing device status to the cloud and syncing the device twin information between edge and cloud.""","Functional Suitability, Reliability, Performance Efficiency",https://kubeedge.io/docs/architecture/edge/devicetwin/#overview
F090,138,kubeedge/kubeedge,"""Registers the four device twin modules and starts them as separate go routines.""","Reliability, Interaction Capability",https://kubeedge.io/docs/architecture/edge/devicetwin/#register-and-start-sub-modules
F091,138,kubeedge/kubeedge,"""It checks if the device in the device twin context (the list of devices are stored inside the device twin context), if not it adds a mutex to the context.""","Functional Suitability, Reliability, Performance Efficiency",https://kubeedge.io/docs/architecture/edge/devicetwin/#sync-metadata-tofrom-db--sqlite-
F092,138,kubeedge/kubeedge,"""The main responsibility of the twin module is to deal with all the device twin-related operations. It can perform operations like device twin update, device twin get and device twin sync-to-cloud.""","Compatibility, Flexibility, Maintainability",https://kubeedge.io/docs/architecture/edge/devicetwin/#twin-module
F093,138,kubeedge/kubeedge,"""EdgeD is an edge node module which manages pod lifecycle. It helps users to deploy containerized workloads or applications at the edge node."" ",Maintainability,https://kubeedge.io/docs/architecture/edge/edged/#overview
F094,138,kubeedge/kubeedge,"""Several OCI-compliant runtimes are supported through the Container Runtime Interface (CRI)."" ",Flexibility,https://kubeedge.io/docs/architecture/edge/edged/#overview
F095,138,kubeedge/kubeedge,"""It also tracks the health of the pods using pod status manager and pleg."" ",Reliability,https://kubeedge.io/docs/architecture/edge/edged/#pod-management
F096,138,kubeedge/kubeedge,"""Probe management creates two probes for readiness and liveness respectively for pods to monitor the containers."" ",Reliability,https://kubeedge.io/docs/architecture/edge/edged/#probe-management
F097,138,kubeedge/kubeedge,"""Edged uses the MetaClient module to fetch secrets from MetaManager."" ",Security,https://kubeedge.io/docs/architecture/edge/edged/#secret-management
F098,138,kubeedge/kubeedge,"""A keep-alive message or heartbeat is sent to cloudHub after every heartbeatPeriod.""",Reliability,https://kubeedge.io/docs/architecture/edge/edgehub/#keep-alive
F099,138,kubeedge/kubeedge,"""Edge hub is responsible for interacting with CloudHub component present in the cloud. It can connect to the CloudHub using either a web-socket connection or using QUIC protocol.""",Compatibility,https://kubeedge.io/docs/architecture/edge/edgehub/#overview
F100,138,kubeedge/kubeedge,"""It supports functions like sync cloud side resources update, report edged side host and device status changes.""",Functional Suitability,https://kubeedge.io/docs/architecture/edge/edgehub/#overview
F101,138,kubeedge/kubeedge,"""It sends a beehive message to all groups (namely metaGroup, twinGroup and busGroup), informing them whether cloud is connected or disconnected.""",Reliability,https://kubeedge.io/docs/architecture/edge/edgehub/#publish-client-info
F102,138,kubeedge/kubeedge,"""The main responsibility of route to cloud is to receive from the other modules (through beehive framework), all the messages that are to be sent to the cloud, and send them to cloudHub through the websocket connection.""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/edgehub/#route-to-cloud
F103,138,kubeedge/kubeedge,"""Eventbus acts as an interface for sending/receiving messages on mqtt topics."" ",Functional Suitability,https://kubeedge.io/docs/architecture/edge/eventbus/#overview
F104,138,kubeedge/kubeedge,"""The flow is almost the same in internal mode except the eventbus is as message broker itself."" ",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/eventbus#2-eventbus-sends-response-messages-to-external-client
F105,138,kubeedge/kubeedge,"""It supports 3 kinds of mode: internalMqttMode; externalMqttMode; bothMqttMode."" ",Compatibility,https://kubeedge.io/docs/architecture/edge/eventbus#overview
F106,138,kubeedge/kubeedge,"""MetaSync operation messages are periodically sent by metamanager to sync the status of the pods running on the edge node.""",Reliability,https://kubeedge.io/docs/architecture/edge/metamanager/?utm_source=chatgpt.com#metasync-operation
F107,138,kubeedge/kubeedge,"""The sync interval is configurable in conf/edgecore.yaml (defaults to 60 seconds).""",Maintainability,https://kubeedge.io/docs/architecture/edge/metamanager/?utm_source=chatgpt.com#metasync-operation
F108,138,kubeedge/kubeedge,"""MetaManager is the message processor between edged and edgehub. It's also responsible for storing/retrieving metadata to/from a lightweight database(SQLite).""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/metamanager/?utm_source=chatgpt.com#overview
F109,138,kubeedge/kubeedge,"""ServiceBus is an HTTP client to interact with HTTP servers (REST), offering HTTP client capabilities to components of the cloud to reach HTTP servers running at the edge.""",Compatibility,https://kubeedge.io/docs/architecture/edge/servicebus#overview
F110,138,kubeedge/kubeedge,"""Cloud sends a beehive message to Edge via CloudHub.""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/servicebus#working
F111,138,kubeedge/kubeedge,"""EdgeHub receives the messages and sends them to ServiceBus.""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/servicebus#working
F112,138,kubeedge/kubeedge,"""ServiceBus just makes the HTTP call and sends the response to the cloud via EdgeHub.""",Performance Efficiency,https://kubeedge.io/docs/architecture/edge/servicebus#working
F113,141,lf-edge/edge-home-orchestration-go,"""Interoperable, flexible, and scalable edge computing services platform""",Compatibility,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture
F114,141,lf-edge/edge-home-orchestration-go,"""Provides an API for accessing the data storage"" (I/O Agent)",Maintainability,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Data-Storage-Module
F115,141,lf-edge/edge-home-orchestration-go,"""Provides a method for getting specific data from the data storage of the Home Edge device by rule-based approach"" (Command)",Safety,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Data-Storage-Module
F116,141,lf-edge/edge-home-orchestration-go,"""Finds the Home Edge devices in a user's home network"" (Edge Discovery)",Functional Suitability,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F117,141,lf-edge/edge-home-orchestration-go,"""Manages lifecycle and replicas of services"" (Service Management)",Functional Suitability,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F118,141,lf-edge/edge-home-orchestration-go,"""Re-deploys services to the other Home Edge device for load balancing"" (Service Offloading)",Performance Efficiency,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F119,141,lf-edge/edge-home-orchestration-go,"""Checks and notifies the status of the Home Edge devices"" (Monitoring)",Security,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Edge-Orchestration-Module
F120,141,lf-edge/edge-home-orchestration-go,"""Provides unified APIs for the control of the connected home devices"" (Controller Adapter)",Compatibility,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Home-Device-Control-Module
F121,141,lf-edge/edge-home-orchestration-go,"""Schedules and allocates distributed job"" (Distributed Job Scheduler)",Performance Efficiency,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Machine-Learning-Module
F122,141,lf-edge/edge-home-orchestration-go,"""Divides model for distributed neural network processing"" (Model Partition Converter)",Flexibility,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Machine-Learning-Module
F123,141,lf-edge/edge-home-orchestration-go,"""Provides security features...such as secure on-boarding, Certificate, AAA, encryption/decryption""",Security,https://lf-edge.atlassian.net/wiki/spaces/HOME/pages/14587069/Home+Edge+Platform+Architecture#Security-Module
F124,142,lf-edge/ekuiper,"""Defines the continuous streaming data source as the input, the computing logic and the result actions as the output""",Functional Suitability,https://ekuiper.org/docs/en/latest/concepts/rules.html#rules
F125,142,lf-edge/ekuiper,"""Benefit from Go concurrency model, the runtime flow of a rule can communicate asynchronously and non-blocking""",Performance Efficiency,https://ekuiper.org/docs/en/latest/concepts/ekuiper.html#architecture-design
F126,142,lf-edge/ekuiper,"""Each rule can specify the operator buffer to limit the processing rate""",Performance Efficiency,https://ekuiper.org/docs/en/latest/concepts/rules.html#rules-relationship
F127,142,lf-edge/ekuiper,"""Sinks are used to write data to an external system""",Compatibility,https://ekuiper.org/docs/en/latest/concepts/sinks.html#sinks
F128,142,lf-edge/ekuiper,"""Users can define the format to decode by setting format property (json, binary, protobuf)""",Compatibility,https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#decode
F129,142,lf-edge/ekuiper,"""Each rule will have its own, standalone source instance from other rules""",Security,https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#define-and-run
F130,142,lf-edge/ekuiper,"""Users can also use mqtt or other sink/source pair to connect rules""",Maintainability,https://ekuiper.org/docs/en/latest/concepts/rules.html#rule-pipeline
F131,142,lf-edge/ekuiper,"""Users can develop a sink extension for detailed control""",Maintainability,https://ekuiper.org/docs/en/latest/concepts/sinks.html#result-encoding
F132,142,lf-edge/ekuiper,"""The source can be defined as shared to boost performance""",Flexibility,https://ekuiper.org/docs/en/latest/concepts/sources/overview.html#define-and-run
F133,142,lf-edge/ekuiper,"""Multiple rules can form a processing pipeline""",Flexibility,https://ekuiper.org/docs/en/latest/concepts/rules.html#rule-pipeline
F134,143,lf-edge/eve,"""Access to hardware root of trust (e.g. TPM) when deployed on bare metal, supporting functions such as crypto-based ID (no device usernames and passwords), measured boot, remote attestation, signed updates, encryption, etc.""",Security,https://lfedge.org/projects/eve/
F135,143,lf-edge/eve,"""Ability to block unused I/O ports to prevent physical tampering""",Security,https://lfedge.org/projects/eve/
F136,143,lf-edge/eve,"""High efficiency and usage of device resources including remote control of CPU, memory, networking and edge device I/O ports""",Performance Efficiency,https://lfedge.org/projects/eve/
F137,143,lf-edge/eve,"""Hosting of any combination of apps in virtual machines, containers and Kubernetes clusters""",Performance Efficiency,https://lfedge.org/projects/eve/
F138,143,lf-edge/eve,"""Remote updates of entire software stack with rollback capability to prevent bricking""",Maintainability,https://lfedge.org/projects/eve/
F139,143,lf-edge/eve,"""Automated patching for security updates""",Maintainability,https://lfedge.org/projects/eve/
F140,143,lf-edge/eve,"""EVE-OS can be deployed on any bare metal hardware (e.g., x86, Arm, GPU, RISC-V) or within a VM to provide consistent system and orchestration services""",Compatibility,https://lfedge.org/projects/eve/
