frag_ID,repo_ID,repo_name,quality_requirements (ISO 25010),fragments,fragments_source
F143,R148,loxilb-io/loxilb,Security,"""Public-cloud environments usually run load-balancers/firewalls externally in order to provide a secure/dmz perimeter layer outside actual workloads.""",https://docs.loxilb.io/latest/kube-loxilb/#what-is-kube-loxilb
F144,R148,loxilb-io/loxilb,"Performance Efficiency, Reliability","""kube-loxilb runs as a deloyment set in kube-system namespace. It is a control-plane component that always runs inside k8s cluster and watches k8s system for changes to nodes/end-points/reachability/LB services etc.""",https://docs.loxilb.io/latest/kube-loxilb/#what-is-kube-loxilb
F145,R148,loxilb-io/loxilb,Maintainability,"""loxilb docker is a self-contained entity and easily managed with well-known tools like docker, containerd, podman etc.""",https://docs.loxilb.io/latest/kube-loxilb/#this-usually-leads-to-another-query-in-external-mode-who-will-be-responsible-for-managing-this-entity
F147,R148,loxilb-io/loxilb,"Performance Efficiency, Reliability","""Need fast failover detection and service continuity.""",https://docs.loxilb.io/latest/ha-deploy/#ideal-for-use-when_4
F148,R148,loxilb-io/loxilb,"Performance Efficiency, Reliability","""Tracks and directs the external traffic destined to svc to the endpoints. Monitors endpoint's health and chooses active endpoints, if configured.""",https://docs.loxilb.io/latest/ha-deploy/#roles-and-responsiblities-for-loxilb_4
F151,R148,loxilb-io/loxilb,Maintainability,"""Sets up loxilb in one-arm svc mode towards end-points.""",https://docs.loxilb.io/latest/ha-deploy/#roles-and-responsiblities-for-kube-loxilb_1
F154,R148,loxilb-io/loxilb,Security,"""--blacklist=cni[0-9a-z]|veth.|flannel."" [...] ""regex must be used with calico CNI.""",https://docs.loxilb.io/latest/ha-deploy/#roles-and-responsiblities-for-loxilb_2
F155,R148,loxilb-io/loxilb,Reliability,"""In case of failure, BFD will detect the failure. BACKUP loxilb will update its state to new master.""",https://docs.loxilb.io/latest/ha-deploy/#failover_4
F156,R154,mindspore-ai/mindspore,Performance Efficiency,"""Efficient execution is reflected in computing, data preprocessing, and distributed training.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F158,R154,mindspore-ai/mindspore,Performance Efficiency,"""Compiler Optimization (MindCompiler): [...] performs global performance optimizations, including hardware-independent optimizations such as auto-differentiation and algebraic reduction, and hardware-relevant optimizations such as graph-operation fusion and operation generation.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F159,R154,mindspore-ai/mindspore,"Flexibility, Compatibility","""Unified deployment for all scenarios means that the framework supports cloud, edge, and device scenarios.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F160,R154,mindspore-ai/mindspore,"Flexibility, Compatibility","""MindIR provides a unified IR format for the device and cloud, which defines logical network structures and operator attributes through a unified IR, and decouples model files in MindIR format from hardware platforms to implement one-time training and multiple-time deployment.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F161,R154,mindspore-ai/mindspore,Security,"""MindSpore Armour module to provide an AI security mechanism for MindSpore.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F162,R154,mindspore-ai/mindspore,Security,"""The simplest scenario to ensure AI security is from the perspective of attack and defense. For example, attackers inject malicious data in the training phase to affect the inference capability of AI models.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F163,R154,mindspore-ai/mindspore,Compatibility,"""As an all-scenario AI framework, MindSpore supports different series of hardware in the device (mobile phone and IoT device), edge (base station and routing device), and cloud (server) scenarios, including Ascend series products and NVIDIA series products, Qualcomm Snapdragon in the ARM series, and Huawei Kirin chips.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F164,R154,mindspore-ai/mindspore,Compatibility,"""MindSpore unifies the coding methods of single device and distributed training. Developers do not need to write complex distributed strategies. They can implement distributed training by adding a small amount of code to the single device code.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F165,R154,mindspore-ai/mindspore,Interaction Capability,"""Easy development features user-friendly APIs and low debugging difficulty.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F166,R154,mindspore-ai/mindspore,Interaction Capability,"""MindSpore provides a Python programming paradigm. Users can build complex neural network models using Python's native control logic, making AI programming easy.""",https://www.mindspore.cn/tutorials/en/master/beginner/introduction.html
F167,R163,MontiCore/montithings,Performance Efficiency,"""MontiThings automatically makes modification proposals according to which either new hardware is purchased or rules are weakened...""",https://www.se-rwth.de/research/MontiThings/
F168,R163,MontiCore/montithings,Performance Efficiency,"""...components can also serialize their state directly (usually after a constant number of processed messages) and store it in a central system.""",https://www.se-rwth.de/research/MontiThings/
F171,R163,MontiCore/montithings,"Reliability, Functional Suitability","""At runtime, log messages of components can be traced within the architecture similar to a 'stack trace' to find the root cause of their occurrence.""",https://www.se-rwth.de/research/MontiThings/
F172,R163,MontiCore/montithings,Reliability,"""If a component fails because the IoT device running it is no longer functional, one possible automatic troubleshooting strategy is for MontiThings to transfer the component to another suitable device.""",https://www.se-rwth.de/research/MontiThings/
F173,R163,MontiCore/montithings,Maintainability,"""Architectures can be observed at runtime and then modified by model-to-model transformations to make their behavior reproducible for developers retrospectively.""",https://www.se-rwth.de/research/MontiThings/
F174,R163,MontiCore/montithings,Performance Efficiency,"""To handle non-deterministic behavior and to reduce the complexity of this procedure to O(1)...""",https://www.se-rwth.de/research/MontiThings/
F175,R163,MontiCore/montithings,Security,"""Device owners can express their local requirements in the form of rules. For example, you can prohibit recording software from running in the bedroom or require that smoke detector components are executed in each room.""",https://www.se-rwth.de/research/MontiThings/
F176,R163,MontiCore/montithings,Interaction Capability,"""MontiThings includes an app store concept that separates hardware and software development.""",https://www.se-rwth.de/research/MontiThings/
F177,R163,MontiCore/montithings,Compatibility,"""The hardware developers on the other hand develop the drivers necessary to connect software components to their hardware.""",https://www.se-rwth.de/research/MontiThings/
F179,R258,nesl/auritus,Interaction Capability,"""To stop logging data, click DISCONNECT FROM DEVICE.""",https://github.com/nesl/auritus/tree/main/Data%20Collection%20Module
F181,R258,nesl/auritus,Reliability,"""We setup six Optitrack Prime 13 cameras in the MoCap setup in conjunction with Motive:Tracker software to collect head-pose data.""",https://github.com/nesl/auritus/tree/main/Data%20Collection%20Module
F182,R258,nesl/auritus,"Flexibility, Functional Suitability","""To find the azimuth angle, elevation angle and distance of the targets from the spot where participants sit, we used a laser rangefinder and digital compass in smartphone.""",https://github.com/nesl/auritus/tree/main/Data%20Collection%20Module
F187,R258,nesl/auritus,"Performance Efficiency,  Maintainability","""The C files have been tested in Arduino for Mbed-enabled and AVR-RISC microcontrollers.",https://github.com/nesl/auritus/tree/main/Filter%20Development%20and%20Deployment#filter-development-and-deployment-module
F188,R258,nesl/auritus,Compatibility,"""The complementary filter is written to operate with MPU-6050 IMU breakout.""",https://github.com/nesl/auritus/tree/main/Filter%20Development%20and%20Deployment#filter-development-and-deployment-module
F192,R258,nesl/auritus,"Functional Suitability, Interaction Capability, Compatibility","""The Jupyter notebook for each model primarily imports the dataset, extracts features (optional), performs hyperparameter tuning or NAS via Bayesian optimization, trains the best model and provides deployable C++ / .tflite files for model deployment.""",https://github.com/nesl/auritus/tree/main/Model%20Development%20and%20Deployment#model-development-and-deployment
F193,R258,nesl/auritus,"Performance Efficiency, Reliability","""We also provide the best-performing pre-trained conventional models.""",https://github.com/nesl/auritus/tree/main/Model%20Development%20and%20Deployment#model-development-and-deployment
F197,R194,pytorch/executorch,Flexibility,"""In order to target on-device AI with diverse hardware, critical power requirements, and realtime processing needs, a single monolithic solution is not practical. Instead, a modular, layered, and extendable architecture is desired.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#high-level-architecture-and-components-of-executorch
F198,R194,pytorch/executorch,Performance Efficiency,"""Program preparation is often simply called AOT (ahead-of-time) because export, transformations and compilations to the program are performed before it is eventually run with the ExecuTorch runtime, written in C++. To have a lightweight runtime and small overhead in execution, we push work as much as possible to AOT.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#program-preparation
F199,R194,pytorch/executorch,Flexibility,"""This architecture greatly improves portability, allowing engineers to use a performant lightweight, cross-platform runtime that easily integrates into different devices and platforms.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#high-level-architecture-and-components-of-executorch
F200,R194,pytorch/executorch,Performance Efficiency,"""Optionally, quantization, either QAT (quantization-aware training) or PTQ (post training quantization) can be applied to the whole ATen graph before converting to Core ATen. Quantization helps with reducing the model size, which is important for edge devices.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#export
F201,R194,pytorch/executorch,Maintainability,"""User-defined passes. Target-specific transforms can also be performed by the user. Good examples of this are kernel fusion, async behavior, memory layout conversion, and others.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#edge-compilation
F202,R194,pytorch/executorch,Performance Efficiency,"""On most Edge environments, dynamic memory allocation/freeing has significant performance and power overhead. It can be avoided using AOT memory planning, and a static execution graph.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#compile-to-executorch-program
F203,R194,pytorch/executorch,Performance Efficiency; Flexibility,"""ExecuTorch has the selective build APIs, to build the runtime that links to only kernels used by the program, which can provide significant binary size savings in the resulting application.""",https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md#runtime-preparation
F205,R257,ztachip/ztachip,Performance Efficiency,"""Each vector element additions are carried out by separate threads and pcores, enable huge processing parallelism.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
F206,R257,ztachip/ztachip,Interaction Capability,"""The goal for DSL is to provide a programming language that is: Easy to use and learn.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
F207,R257,ztachip/ztachip,Interaction Capability,"""Hide the complexity of hardware implementation from software users.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
F208,R257,ztachip/ztachip,Maintainability,"""Tensor-core programs are C-program but with some special extensions.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
F209,R257,ztachip/ztachip,"Compatibility, Flexibility","""There is a compiler provided with ztachip that converts these special extension to tensor instructions before the program can then be compiled with standard RISCV C compiler.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
F210,R257,ztachip/ztachip,Reliability,"""Due to limited memory, all tensor operator objects are singleton and overlapped in memory. Users must partition these objects in such a way that they are not in use at the same time.""",https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md
