repo_id,repo_name,Included,full_repo_name,url,criteria,arch_overview,diagrams,adrs,context,deployment,quality_attrs,interface,evaluation,stakeholders,sa_doc,layer_caps,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,domain,architectural_layer,Application Type,sa_doc_link,search_term,stars,desc.,lang,last_commit,commits_2024,total_commits,collaborators,template,fork,forks,size,score,archived,disabled
R095,fledge,Yes,fledge-iot/fledge,https://github.com/fledge-iot/fledge,I2,•,•,,,•,•,,,,YES,device ↔ fog,Edge Data Ingestion & Preprocessing,Data Capabilities,Edge,Plugin-based Northbound/Southbound Connectivity,Interface Capability,Device/Edge/Fog,Edge Analytics & Closed-Loop Control,Data Capabilities,Edge,IIoT,Infrastructure/Platform,Platform,https://github.com/fledge-iot/fledge/blob/develop/docs/fledge_architecture.rst,edge iot,127.0,"An open source platform for the Industrial Internet of Things, it acts as an edge gateway between sensor devices and cloud storage systems.",Python,2025-01-17T12:43:43Z,608.0,11.824,42.0,False,False,50.0,44971.0,1.0,False,False
R098,trusted-connector,Yes,Fraunhofer-AISEC/trusted-connector,https://github.com/Fraunhofer-AISEC/trusted-connector,I3,•,•,,,•,,•,,,YES,edge ↔ Cloud,Secure Data Exchange Gateway,Interface Capability,Fog/Cloud/Edge,Data Sovereignty & Policy Enforcement,Supporting Capabilities,Cross-cutting,Trusted Execution & Compliance Integration,Supporting Capabilities,Fog/Cloud ,IIoT,Infrastructure/Platform,Platform,https://industrial-data-space.github.io/trusted-connector-documentation/docs/overview/,edge-iot,48.0,"IoT edge platform ""Trusted Connector"" of the International Data Spaces. Based on Spring Boot, includes Camel message routing, a Camel component for IDSCP2 (including remote attestation with other connectors) and a management web UI.",Kotlin,2024-08-31T15:15:08Z,32.0,2.263,14.0,False,False,45.0,114526.0,1.0,False,False
R116,inngest,Yes,inngest/inngest,https://github.com/inngest/inngest,I2,•,•,,•,•,•,•,,,YES,fog ↔ cloud,Event-Driven Orchestration,Supporting Capabilities,Fog/Cloud,Resilient Task Scheduling & State Management,Supporting Capabilities,Edge,Cross-Environment Portability,Supporting Capabilities,Cross-cutting,"Data streaming processing, Real Time Data Processing",Infrastructure/Platform,Full System,https://www.inngest.com/docs/self-hosting#inngest-system-architecture,edge-ai,2356.0,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",Go,2025-01-17T23:31:55Z,1097.0,4.174,24.0,False,False,91.0,325678.0,1.0,False,False
R120,AiCSD,Yes,intel/AiCSD,https://github.com/intel/AiCSD,I2,•,•,,,•,,•,,,YES,edge ↔ fog,Edge Data Pipeline & Processing,Data Capabilities,Edge/Fog,Monitoring & Log Analytics,Supporting Capabilities,Cross-cutting,Secure Coordination & Communication,Supporting Capabilities,Cross-cutting,"Computer Vision, IIoT, Orchestration",Infrastructure/Platform,Full System,https://intel.github.io/AiCSD/index.html#ai-connect-for-scientific-data-aicsd,edge-ai,17.0,"AI Connect for Scientific Data (AiCSD) is a new solution for using AI to connect data from scientific instruments to applicable AI pipelines and run workloads at the edge. This repository contains EdgeX Foundry based microservices to automatically detect, manage, and process OEM images with OpenVINO.",Go,2025-01-03T19:40:54Z,38.0,78,9.0,False,False,13.0,30826.0,1.0,False,False
R121,compage,No,intelops/compage,https://github.com/intelops/compage,I1,•,•,,,•,,•,,,Partially,fog ↔ cloud,Low-Code Cloud-to-Edge App Generation,Supporting Capabilities,Fog/Cloud,Supply Chain Security & SBOM Automation,Supporting Capabilities,Cross-cutting,Multi-Platform Orchestration & Deployment,Supporting Capabilities,Fog/Cloud,Others,Infrastructure/Platform,Full System,https://github.com/intelops/compage/tree/main/images,edge-iot,83.0,"Compage - Low-Code Framework to develop Rest API, gRPC, dRPC, GraphQL, WebAssembly, microservices, FaaS, Temporal workloads, IoT and edge services, K8s controllers, K8s CRDs, K8s custom APIs, K8s Operators, K8s hooks, etc. with minimal coding and by automatically applying best practice methods like software supply chain security measures, SBOM, openAPI, cloudevents, etc. Auto generate code after defining requirements in UI as diagram.",Go,2024-08-09T19:09:32Z,43.0,976,7.0,False,False,21.0,29436.0,1.0,False,False
R124,BirdsEye,No,IQTLabs/BirdsEye,https://github.com/IQTLabs/BirdsEye,I1,•,,,,•,,,•,,Partially,edge ↔ fog,Lightweight RL-based RF Localization,Supporting Capabilities,Edge,Compute-Efficient Training & Inference,Supporting Capabilities,Edge,Simulation-Driven Edge Modeling,Supporting Capabilities,Edge/Fog,Computer Vision,System,Platform,https://github.com/IQTLabs/BirdsEye/blob/main/docs/classes_BirdsEye.png,edge-ai,42.0,"The BirdsEye RL/RF project enables localization of mobile radio frequency targets, e.g., drones operators, via commericial off-the-shelf sensors.",Jupyter Notebook,2025-01-19T01:32:15Z,292.0,1.498,11.0,False,False,16.0,418686.0,1.0,False,False
R130,AI-on-the-edge-device,Yes,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,I1,•,,,,•,,•,,,Partially,device ↔ fog,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,Smart Environment,System,Framework,https://jomjol.github.io/AI-on-the-edge-device-docs/,edge ai,6266.0,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",C++,2025-01-17T22:16:56Z,266.0,2.026,61.0,False,False,677.0,163077.0,1.0,False,False
R131,AI-on-the-edge-device-docs,No,jomjol/AI-on-the-edge-device-docs,https://github.com/jomjol/AI-on-the-edge-device-docs,I2,•,,,,•,,•,,,Partially,device ↔ fog,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,Smart Environment,System,Framework,https://github.com/jomjol/AI-on-the-edge-device-docs/tree/main/docs,edge ai,84.0,Github for hosting the documentation for the project: https://github.com/jomjol/AI-on-the-edge-device,Python,2025-01-19T01:44:43Z,75.0,401,23.0,False,False,40.0,106847.0,1.0,False,False
R137,keylime,Yes,keylime/keylime,https://github.com/keylime/keylime,I1,•,•,,,•,,,,,YES,Continuum,Remote Attestation & Integrity Verification,Supporting Capabilities,Device/Edge,Secure Provisioning & Key Management,Supporting Capabilities,Fog/Cloud,Cross-Layer Security & Compliance,Supporting Capabilities,Cross-cutting,"Smart Environments, Industry 4.0, Medical IoT",Infrastructure/Platform,Subsystem,https://github.com/keylime/keylime/blob/master/docs/old/keylime-detailed-architecture-v7.pptx,edge-iot,440.0,A CNCF Project to Bootstrap & Maintain Trust on the Edge / Cloud and IoT,Python,2025-01-17T17:31:37Z,191.0,1.964,65.0,False,False,153.0,15813.0,1.0,False,False
R138,kubeedge,Yes,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,I1,•,•,,,•,•,•,,•,YES,Continuum,Cloud-Edge Application Orchestration,Supporting Capabilities,Fog/Cloud/Edge,Secure Edge Communication & Digital Twin,Supporting Capabilities,Cross-cutting (Edge/Fog/Cloud),IoT Device Integration & Event Routing,Interface Capability,Device/Edge,"Autonomous Systems, Smart Environment, IIoT",Infrastructure/Platform,Subsystem,https://release-1-19.docs.kubeedge.io/docs/category/architecture,edge iot,6903.0,Kubernetes Native Edge Computing Framework (project under CNCF),Go,2025-01-20T07:39:25Z,634.0,5.831,100.0,False,False,1740.0,143846.0,1.0,False,False
R141,edge-home-orchestration-go,Yes,lf-edge/edge-home-orchestration-go,https://github.com/lf-edge/edge-home-orchestration-go,I1,•,•,,,•,,•,,,YES,device ↔ fog,Dynamic Service Offloading & Load Balancing,Supporting Capabilities,Edge/Fog,Distributed Device Discovery & Scheduling,Supporting Capabilities,Device/Edge,Container-based Application Deployment,Supporting Capabilities,Edge/Device,Smart Environment,Infrastructure/Platform,Framework,https://github.com/lf-edge/edge-home-orchestration-go/tree/master/docs,edge iot,94.0,Home Edge Project in LF Edge - Edge Orchestration for home edge devices to enabling smart home use cases.,Go,2025-01-06T09:17:12Z,8.0,769,20.0,False,False,51.0,5354.0,1.0,False,False
R142,ekuiper,Yes,lf-edge/ekuiper,https://github.com/lf-edge/ekuiper,I1,•,•,,,•,•,•,,,YES,device ↔ fog,Lightweight Stream Processing & Rule Engine,Data Capabilities,Edge,Highly Extensible Connectivity Framework,Interface Capability,Device/Edge,Management Dashboard & API-based Control,Supporting Capabilities,Fog/Edge,"Smart Environment, IIoT, Efficient AI",Infrastructure/Platform,Full System,https://ekuiper.org/docs/en/latest/concepts/ekuiper.html,edge-iot,1519.0,Lightweight data stream processing engine for IoT edge,Go,2025-01-17T10:12:02Z,718.0,3.241,90.0,False,False,418.0,119529.0,1.0,False,False
R143,eve,Yes,lf-edge/eve,https://github.com/lf-edge/eve,I2,•,•,,,•,•,•,,,YES,edge ↔ Cloud,Secure Edge Virtualization & Isolation,Supporting Capabilities,Edge,Remote Orchestration & Lifecycle Management,Supporting Capabilities,Fog/Cloud,Zero-Trust Security & Device Integrity,Supporting Capabilities,Cross-cutting,"IIoT, Autonomous Systems",Infrastructure/Platform,Framework,https://github.com/lf-edge/eve/blob/master/docs/APP-CONNECTIVITY.md,edge iot,480.0,EVE is Edge Virtualization Engine ,Go,2025-01-17T17:09:18Z,906.0,11.140,83.0,False,False,164.0,400535.0,1.0,False,False
R148,loxilb,Yes,loxilb-io/loxilb,https://github.com/loxilb-io/loxilb,I2,•,•,,•,•,,•,,•,YES,edge ↔ Cloud,High-Performance Edge Load Balancing,Supporting Capabilities,Fog/Cloud,Multi-Cluster & Multi-Tenant Networking,Interface Capability,Fog/Cloud,Security & Resilience (DDoS Protection),Supporting Capabilities,Cross-cutting,"Smart Environment, Orchestration",Infrastructure/Platform,Platform,https://docs.loxilb.io/latest/arch/,edge-iot,1547.0,eBPF based cloud-native load-balancer for Kubernetes|Edge|Telco|IoT|XaaS.,Go,2025-01-19T22:06:49Z,1266.0,3.377,24.0,False,False,124.0,40347.0,1.0,False,False
