code_ID,code,#_of_occurrences,high-order_themes,theme_ID,theme
C210,JWT-based Authorization,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C211,Keep-Alive Packets,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C212,Kubernetes Cluster Management,7,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C213,Kubernetes Native Platform,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C214,Kubernetes Tools,2,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C215,Labeling Issues,2,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C216,Language Supports,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C217,LeafEvent,2,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C218,Lifecycle Management,3,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C219,Lightweight Messaging System,3,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C220,Lightweight Runtime,10,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C221,Linux Workload,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C222,Listening Address,3,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C223,Load Balancing,8,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C224,Local Device Connection,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C225,Local Processing,2,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C226,Local Storage,2,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C227,Logger Configuration,3,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C228,Long-Range Communication,1,"Communication Protocols, Infrastructures and Continuum",T16,LPWAN/LoRaWAN & Other Long‑Range Low‑Power Communications
C229,Low Bandwidth,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C230,Low Debugging Difficulty,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C231,Low Latency,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C232,Low-Power Connected Objects,1,"Communication Protocols, Infrastructures and Continuum",T16,LPWAN/LoRaWAN & Other Long‑Range Low‑Power Communications
C233,Management and Routing Tasks,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C234,Manager Interface,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C235,Master-Minion Architecture,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C236,Memory Layout Conversion,2,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C237,Memory Management,5,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C238,Merge Restrictions,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C239,Message Structure,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C240,Message Transmission,21,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C241,Metrics Collection,2,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C242,Metrics Endpoint,1,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C243,Microcontroller Support,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C244,Microservices Architecture,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C245,Middleware Integration,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C246,Minimal Functionality,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C247,Mobile IoT,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C248,Model Aggregation,2,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C249,Model Deployment,5,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C250,Model Partition Converter,4,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C251,Model Performance,3,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C252,Model Size Reduction,2,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C253,Modification Proposals,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C254,Modular Application Development,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C255,Modular Architecture,11,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C256,Module Integration,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C257,Module Management,3,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C258,module performance,2,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C259,Module Registration,4,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C260,Monitoring,23,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C261,MQTT Interface,10,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C262,Multi-cloud,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C263,Multi-Factor Authentication,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C264,Multi-Language Protocol,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C265,Multi-Layer Architecture,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
